Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
MUMBAI,Kurla,E4,Complex,Business Park 44,2,COMMERCIAL,528,507,461142.63,725.711
REWA,Rewa City,E4,Bazaar,Station Road 26,2,COMMERCIAL,25,24,15454.99,29.767
RAJKOT,Gondal Road,W5,Market,Station Road 46,2,COMMERCIAL,804,786,652410.78,3766.41
CHENNAI SOUTH,Tambaram,Rural,Bazaar,Gokulam 8,2,COMMERCIAL,143,124,268660.93,160.963
GUNTUR,Guntur Rural,Ind,Main,Business Park 47,2,COMMERCIAL,502,409,534741.68,2347.147
VARANASI,Varanasi Rural,W5,Section-A,Station Road 41,2,COMMERCIAL,445,433,780241.33,704.747
HOWRAH,Shibpur,E4,Section-B,Janpath 32,2,COMMERCIAL,581,511,1074507.95,1347.792
AGRA,Loha Mandi,Rural,Section-B,Business Park 64,2,COMMERCIAL,1174,1063,1904130.41,5847.293
PUNE,Hadapsar,Central,Plaza,Business Park 47,2,COMMERCIAL,1123,958,263829.35,1950.27
JALANDHAR,Adarsh Nagar,Ind,Bazaar,High Street 24,2,COMMERCIAL,559,546,90469.45,969.471
RAJAHMUNDRY,Rajahmundry City,E4,Section-A,Station Road 4,2,COMMERCIAL,960,925,1087761.62,1905.828
REWA,Mangawan,Central,Hub,Temple View 62,2,COMMERCIAL,759,626,129369.67,1738.457
REWA,Mauganj,Rural,Main,Old City 52,2,COMMERCIAL,73,67,104413.86,150.443
MANGALURU,Mangaluru West,E4,Market,Station Road 32,2,COMMERCIAL,1392,1274,2181128.45,4009.472
JABALPUR,Wright Town,Metro,Extension,Janpath 70,2,COMMERCIAL,1286,1158,1324642.7,6373.465
AURANGABAD,CIDCO,E4,Market,Temple View 84,2,COMMERCIAL,1445,1425,305783.51,1562.496
AJMER,Clock Tower,Rural,Bazaar,Business Park 4,2,COMMERCIAL,1367,1208,422326.3,2603.433
JAMNAGAR,Jamnagar South,N1,Section-A,Janpath 77,2,COMMERCIAL,657,549,819904.47,2898.867
KOLKATA NORTH,Dum Dum,Metro,Hub,Gokulam 44,2,COMMERCIAL,406,376,266826.2,1900.127
INDORE,Vijay Nagar,Ind,Section-A,Gokulam 48,2,COMMERCIAL,470,448,697853.34,2240.315
GHAZIABAD,Loni,E4,Main,Gokulam 77,2,COMMERCIAL,975,967,1793968.54,3441.318
UDAIPUR,Fatehsagar,E4,Market,High Street 13,2,COMMERCIAL,801,743,526074.53,2171.832
KALABURAGI,Kalaburagi North,Ind,Market,High Street 19,2,COMMERCIAL,1063,1054,447546.27,2880.284
MUMBAI,Kurla,S2,Bazaar,Station Road 95,2,COMMERCIAL,847,754,1572253.93,4019.795
GUNTUR,Lodge Centre,Ind,Plaza,Janpath 48,2,COMMERCIAL,1457,1168,2887193.2,5572.185
MADURAI,Usilampatti,Ind,Section-B,Temple View 56,2,COMMERCIAL,1484,1323,2444848.7,1874.955
MUMBAI,Sion,Metro,Extension,Gokulam 42,2,COMMERCIAL,649,523,388072.08,1697.527
UJJAIN,Tower Chowk,Town,Section-B,Janpath 56,2,COMMERCIAL,958,927,124767.26,4312.33
JABALPUR,Wright Town,E4,Bazaar,Old City 13,2,COMMERCIAL,676,554,1259321.0,3142.231
COIMBATORE,Gandhipuram,S2,Market,Business Park 65,2,COMMERCIAL,231,214,96577.66,343.984
SILIGURI,Siliguri Town,Metro,Market,Temple View 85,2,COMMERCIAL,954,808,97231.51,1227.28
VADODARA,Sayajiganj,E4,Hub,Station Road 6,2,COMMERCIAL,690,578,166164.44,2963.6
BARAMATI,Phaltan,W5,Market,Business Park 15,2,COMMERCIAL,1412,1356,1889082.24,5181.391
PUNE,Kothrud,C3,Extension,Gokulam 70,2,COMMERCIAL,1033,846,1406814.51,5123.281
KANNUR,Kannur Town,W5,Plaza,Gokulam 73,2,COMMERCIAL,1497,1452,2037597.88,5041.968
SILIGURI,Siliguri Town,Rural,Hub,Janpath 14,2,COMMERCIAL,1028,901,599923.12,4123.238
RAJAHMUNDRY,Rajahmundry City,W5,Main,Janpath 2,2,COMMERCIAL,322,285,390146.97,1057.695
TRICHY,Lalgudi,Central,Hub,Janpath 28,2,COMMERCIAL,783,736,227478.87,1480.74
SAGAR,Bina,S2,Section-B,Station Road 35,2,COMMERCIAL,949,781,145199.72,3267.617
KANNUR,Taliparamba,Ind,Hub,High Street 6,2,COMMERCIAL,518,466,152793.93,2074.781
BENGALURU NORTH,Peenya,W5,Plaza,Temple View 100,2,COMMERCIAL,826,781,1372287.56,2579.221
UDAIPUR,Fatehsagar,S2,Complex,Station Road 47,2,COMMERCIAL,867,840,385095.26,1418.147
COIMBATORE,RS Puram,N1,Section-A,Janpath 5,2,COMMERCIAL,1287,1268,1608463.23,4286.54
TRICHY,Srirangam,N1,Market,Gokulam 33,2,COMMERCIAL,120,114,83787.41,266.226
GWALIOR,City Centre,Rural,Plaza,New Town 100,2,COMMERCIAL,914,867,420709.75,2092.267
SURAT,Varachha,E4,Section-B,Janpath 28,2,COMMERCIAL,1353,1305,747452.98,5936.89
PATIALA,22 No Phatak,Metro,Hub,Business Park 70,2,COMMERCIAL,255,210,363791.05,754.499
JAMNAGAR,Digvijay Plot,W5,Main,New Town 9,2,COMMERCIAL,1470,1249,582483.26,7296.131
SALEM,Mettur,E4,Section-B,Gokulam 22,2,COMMERCIAL,719,587,178127.91,2397.681
AMRITSAR,Hall Gate,N1,Complex,New Town 31,2,COMMERCIAL,170,144,262069.32,472.881
KOLKATA SOUTH,Behala,Rural,Plaza,Janpath 100,2,COMMERCIAL,808,745,1342242.1,2390.031
VADODARA,Makarpura,N1,Section-B,Gokulam 50,2,COMMERCIAL,968,947,1193581.78,4468.276
BIKANER,Gangashahar,Central,Section-B,High Street 63,2,COMMERCIAL,475,411,309292.33,1116.914
BALLARI,Ballari Rural,Rural,Section-A,High Street 39,2,COMMERCIAL,819,698,981199.73,3884.614
KANPUR,Civil Lines,N1,Bazaar,Temple View 4,2,COMMERCIAL,1474,1410,2573788.89,5914.382
VIJAYAWADA,Gunadala,C3,Main,New Town 14,2,COMMERCIAL,405,343,661641.8,1125.423
VADODARA,Sayajiganj,Rural,Bazaar,Janpath 52,2,COMMERCIAL,1076,874,798944.77,3213.195
TIRUPATI,Renigunta,Town,Plaza,Gokulam 53,2,COMMERCIAL,1225,980,1179905.32,5651.582
BIKANER,Napasar,Town,Section-A,Janpath 68,2,COMMERCIAL,53,44,79660.32,247.01
KURNOOL,Kurnool City,S2,Section-A,High Street 98,2,COMMERCIAL,394,348,52329.16,1845.173
VADODARA,Sayajiganj,Town,Bazaar,Gokulam 17,2,COMMERCIAL,1355,1173,702867.33,3924.719
JALANDHAR,Civil Lines,Rural,Extension,New Town 80,2,COMMERCIAL,1397,1230,1282045.2,5953.005
PATHANKOT,Pathankot Town,W5,Plaza,Janpath 96,2,COMMERCIAL,819,728,1593447.74,2723.463
JALANDHAR,Adarsh Nagar,W5,Market,Temple View 71,2,COMMERCIAL,1328,1109,2202312.13,3996.271
BHAVNAGAR,Palitana,Town,Hub,Temple View 31,2,COMMERCIAL,972,789,887854.83,3061.087
PATHANKOT,Pathankot Town,C3,Section-B,New Town 17,2,COMMERCIAL,1359,1289,1343693.56,1385.95
AURANGABAD,CIDCO,N1,Section-A,High Street 38,2,COMMERCIAL,1019,967,1242601.04,4217.668
KOLKATA NORTH,Barasat,C3,Market,New Town 45,2,COMMERCIAL,1236,1011,1515866.12,5142.569
BENGALURU SOUTH,Jayanagar,Metro,Section-A,Station Road 51,2,COMMERCIAL,513,487,705168.99,1430.039
THRISSUR,Patturaikkal,Rural,Market,Station Road 48,2,COMMERCIAL,663,549,1038495.73,1344.891
COIMBATORE,RS Puram,Rural,Market,Old City 6,2,COMMERCIAL,275,230,271476.11,824.973
PATHANKOT,Su過npur,C3,Complex,Station Road 18,2,COMMERCIAL,126,106,224510.96,329.979
VADODARA,Akota,Town,Section-B,Temple View 6,2,COMMERCIAL,1155,1004,1040634.82,1905.157
BALLARI,Sandur,S2,Main,Business Park 66,2,COMMERCIAL,1203,1015,2251141.68,3753.819
MANGALURU,Mangaluru East,Rural,Section-B,Janpath 6,2,COMMERCIAL,283,241,72013.25,1052.816
NELLORE,Trunk Road,Town,Plaza,Business Park 99,2,COMMERCIAL,906,884,1151957.75,3542.818
KALYAN,Kalyan East,Metro,Complex,Station Road 49,2,COMMERCIAL,43,39,44654.88,122.604
SALEM,Attur,Ind,Main,High Street 92,2,COMMERCIAL,1172,1101,1505098.8,4080.246
MANGALURU,Mangaluru East,Rural,Complex,Old City 23,2,COMMERCIAL,1391,1159,1208739.0,6456.126
VIJAYAWADA,Governorpet,Central,Plaza,Temple View 99,2,COMMERCIAL,627,508,1031729.5,2654.28
BENGALURU NORTH,Peenya,Central,Market,Janpath 94,2,COMMERCIAL,543,470,624397.32,2193.862
BATHINDA,Bathinda City,Ind,Plaza,Business Park 92,2,COMMERCIAL,571,494,521817.71,661.794
VIJAYAWADA,Gunadala,S2,Main,Business Park 50,2,COMMERCIAL,1161,1084,1840616.24,3636.826
KOZHIKODE,Feroke,Metro,Section-A,Temple View 79,2,COMMERCIAL,433,427,315768.37,601.23
VIJAYAWADA,Governorpet,Metro,Extension,Gokulam 84,2,COMMERCIAL,1366,1286,471635.04,3429.929
REWA,Sagra,W5,Complex,Janpath 8,2,COMMERCIAL,552,473,948734.61,739.321
MADURAI,Usilampatti,E4,Section-B,Janpath 16,2,COMMERCIAL,1220,1094,1409536.6,3714.161
BARAMATI,Phaltan,N1,Extension,New Town 60,2,COMMERCIAL,1319,1311,233851.36,4077.182
AJMER,Vaishali,W5,Market,Business Park 19,2,COMMERCIAL,1289,1089,2081364.48,5967.361
VIJAYAWADA,Gunadala,Ind,Complex,Temple View 70,2,COMMERCIAL,192,158,89912.95,907.222
PATHANKOT,Su過npur,C3,Complex,Janpath 64,2,COMMERCIAL,1420,1184,2541839.76,5062.871
BHOPAL,Bittan Market,W5,Market,New Town 94,2,COMMERCIAL,253,216,92639.39,1066.526
TIRUNELVELI,Ambasamudram,N1,Hub,Janpath 52,2,COMMERCIAL,894,749,575624.91,3856.545
MEERUT,Meerut Cantt,W5,Bazaar,Old City 1,2,COMMERCIAL,889,854,646884.16,1372.778
KOZHIKODE,Kozhikode Town,C3,Hub,Old City 59,2,COMMERCIAL,1480,1334,1657368.31,1878.819
ALWAR,Neemrana,Metro,Section-B,Gokulam 20,2,COMMERCIAL,1463,1375,1886950.72,4398.821
MUMBAI,Kurla,Town,Market,Old City 14,2,COMMERCIAL,1257,1033,562333.97,2772.404
KOLKATA SOUTH,Ballygunge,Town,Bazaar,Business Park 85,2,COMMERCIAL,438,368,64668.06,1020.481
TIRUPATI,KT Road,C3,Section-B,Gokulam 36,2,COMMERCIAL,807,692,259454.78,2736.514
GUNTUR,Brodipet,E4,Plaza,Temple View 78,2,COMMERCIAL,664,533,245887.46,2935.111
GANDHINAGAR,Kalol,Rural,Market,Janpath 17,2,COMMERCIAL,587,540,529284.06,2087.467
BENGALURU SOUTH,Koramangala,Central,Hub,Gokulam 32,2,COMMERCIAL,92,83,145200.74,112.329
KOCHI,Edappally,Central,Hub,Old City 55,2,COMMERCIAL,648,551,597409.04,1965.048
JAIPUR,Mansarovar,Ind,Main,Janpath 43,2,COMMERCIAL,687,676,112614.88,2373.422
KOLKATA SOUTH,Ballygunge,S2,Extension,Janpath 31,2,COMMERCIAL,734,704,1032235.82,3388.974
LUDHIANA,Model Town,S2,Plaza,Gokulam 1,2,COMMERCIAL,39,34,65436.92,127.839
VADODARA,Akota,Town,Main,High Street 48,2,COMMERCIAL,1224,1013,1410483.36,4586.357
BIKANER,Bikaner City,W5,Complex,Business Park 83,2,COMMERCIAL,567,458,300818.64,2663.062
JABALPUR,Wright Town,W5,Section-B,New Town 88,2,COMMERCIAL,1492,1328,862446.07,4081.754
PATIALA,22 No Phatak,C3,Hub,New Town 33,2,COMMERCIAL,1354,1195,2018308.15,5109.149
KOLKATA NORTH,Dum Dum,N1,Section-A,Temple View 27,2,COMMERCIAL,828,666,1115655.53,1174.371
NASHIK,Nashik Road,Ind,Market,New Town 16,2,COMMERCIAL,109,103,154621.22,163.424
AHMEDABAD,Sabarmati,Ind,Complex,Old City 21,2,COMMERCIAL,468,417,61045.78,1127.661
HUBBALLI,Hubballi Rural,Rural,Section-A,Station Road 44,2,COMMERCIAL,1375,1302,2714272.21,2452.058
LUDHIANA,Feroze Gandhi Market,C3,Complex,Gokulam 57,2,COMMERCIAL,120,106,194595.04,589.779
BENGALURU SOUTH,HSR Layout,Town,Extension,Business Park 47,2,COMMERCIAL,1103,991,1923904.95,4699.458
MOHALI,Phase 7,W5,Hub,New Town 54,2,COMMERCIAL,417,355,779053.02,669.346
KANNUR,Taliparamba,Rural,Main,Station Road 73,2,COMMERCIAL,1243,1156,1980644.76,3913.123
NASHIK,Panchavati,Central,Section-B,Business Park 54,2,COMMERCIAL,543,504,360740.21,2005.648
KURNOOL,Dhone,Rural,Market,Gokulam 67,2,COMMERCIAL,699,610,289241.21,1410.577
AURANGABAD,Paithan Gate,C3,Section-B,Old City 99,2,COMMERCIAL,741,687,148925.76,2206.201
COIMBATORE,Pollachi,C3,Hub,High Street 55,2,COMMERCIAL,195,181,343653.64,608.26
CHENNAI SOUTH,Guindy,E4,Extension,Janpath 2,2,COMMERCIAL,559,455,823317.24,1767.098
DURGAPUR,Durgapur Rural,Town,Extension,Janpath 48,2,COMMERCIAL,1319,1117,955092.32,6238.21
RAJAHMUNDRY,Dowleswaram,Metro,Section-B,Old City 48,2,COMMERCIAL,221,182,103261.32,817.056
MYSURU,Hunsur,Ind,Complex,High Street 77,2,COMMERCIAL,1004,997,586973.26,4268.913
VARANASI,Shivpur,C3,Section-A,Old City 67,2,COMMERCIAL,860,778,1348824.16,1161.754
UJJAIN,Tower Chowk,E4,Section-A,Old City 53,2,COMMERCIAL,258,224,69196.79,628.49
ALWAR,Tijara,Rural,Bazaar,Business Park 67,2,COMMERCIAL,1310,1227,2608012.83,6542.202
AGRA,Agra Cantt,W5,Extension,Gokulam 55,2,COMMERCIAL,1240,1206,2388194.1,3325.664
NELLORE,Magunta,E4,Market,Old City 60,2,COMMERCIAL,1449,1360,1555278.36,1910.893
NASHIK,Ambad,W5,Main,High Street 19,2,COMMERCIAL,1339,1321,1964406.68,1532.336
DURGAPUR,Benachity,W5,Section-B,Temple View 12,2,COMMERCIAL,973,845,618418.17,4574.28
REWA,Mangawan,N1,Extension,Janpath 17,2,COMMERCIAL,152,146,112209.01,248.934
BENGALURU SOUTH,Koramangala,Town,Hub,Gokulam 79,2,COMMERCIAL,1003,972,1450381.59,2684.371
KALABURAGI,Kalaburagi South,Rural,Plaza,Temple View 24,2,COMMERCIAL,1325,1303,362215.99,4125.096
COIMBATORE,Gandhipuram,Central,Market,Business Park 35,2,COMMERCIAL,1054,867,1716547.53,2607.429
JAIPUR,Amer,Town,Market,Janpath 25,2,COMMERCIAL,111,97,30575.64,489.059
