City,Year,Domestic_Consumption,Industrial_Consumption,Commercial_Consumption,Total_Consumption
Madurai,2019,1400,4513,1328,7241
Navi Mumbai,2018,1249,3180,418,4847
Patna,2017,1366,1298,961,3625
Indore,2017,2360,1110,1433,4903
Aurangabad,2019,978,3948,1656,6582
Agra,2017,2952,3289,442,6683
Meerut,2017,1835,2656,1684,6175
Howrah,2018,830,1636,817,3283
Kolkata,2018,2351,1572,1700,5623
Chennai,2019,2119,3914,1780,7813
Navi Mumbai,2019,2339,840,1605,4784
Nashik,2018,2459,2667,975,6101
Jodhpur,2017,2072,3472,1174,6718
Indore,2019,2121,4548,1232,7901
Coimbatore,2017,2785,2338,781,5904
Vadodara,2017,1061,4618,1358,7037
Hyderabad,2017,2900,1988,1137,6025
Nagpur,2017,1102,2674,699,4475
Srinagar,2018,1825,3256,1207,6288
Ghaziabad,2019,1815,2200,478,4493
Hubli,2019,2122,4568,1713,8403
Aurangabad,2018,1785,3035,1069,5889
Kota,2018,2656,2898,1561,7115
Kalyan,2018,2093,2071,1820,5984
Jabalpur,2019,963,3369,1282,5614
Pune,2018,1418,4041,846,6305
Varanasi,2018,1040,2122,1966,5128
Hyderabad,2017,1831,1983,498,4312
Howrah,2019,2687,4108,775,7570
Dhanbad,2018,1315,4589,1651,7555
Vasai,2017,2937,1751,1509,6197
Mumbai,2017,2329,2880,1497,6706
Allahabad,2017,1782,1821,1356,4959
Meerut,2018,2139,4945,1696,8780
Ghaziabad,2017,1293,1012,604,2909
Pune,2018,1722,2071,1168,4961
Faridabad,2019,795,807,913,2515
Kota,2019,1631,2011,1559,5201
Dhanbad,2017,2525,4151,1501,8177
Raipur,2019,618,4290,1004,5912
Aurangabad,2017,1084,3711,1377,6172
Mumbai,2019,869,1347,884,3100
Hubli,2017,1884,3060,1426,6370
Kalyan,2018,1877,4478,1520,7875
Ludhiana,2017,1938,2176,1634,5748
Chennai,2017,691,1661,373,2725
Bangalore,2018,1891,4481,1397,7769
Meerut,2018,2814,3258,1103,7175
Gwalior,2018,576,4535,689,5800
Kalyan,2018,1977,3667,1591,7235
Srinagar,2017,1808,1284,878,3970
Hubli,2019,1341,2909,866,5116
Vadodara,2019,1042,4225,1057,6324
Bhopal,2019,1680,4160,981,6821
Bhopal,2017,2357,2025,536,4918
Bhopal,2017,899,868,1270,3037
Amritsar,2017,1410,4519,594,6523
Visakhapatnam,2019,1139,2626,899,4664
Jabalpur,2019,2297,4748,1175,8220
Solapur,2018,2459,1440,772,4671
Ludhiana,2018,1720,1714,341,3775
Amritsar,2019,1233,4595,1961,7789
Ahmedabad,2017,2770,1881,447,5098
Allahabad,2018,1382,3484,1901,6767
Kanpur,2019,1535,1706,505,3746
Faridabad,2017,2872,3347,426,6645
Jodhpur,2019,564,2746,1954,5264
Agra,2018,968,1838,1507,4313
Kolkata,2019,1374,3135,1237,5746
Ludhiana,2019,938,3985,1266,6189
Nagpur,2017,2437,2838,1873,7148
Kanpur,2018,2291,1684,1740,5715
Pune,2018,2619,1312,750,4681
Coimbatore,2018,924,4019,551,5494
Mumbai,2019,962,4654,1238,6854
Patna,2018,872,3712,527,5111
Srinagar,2019,2418,1800,1919,6137
Thane,2019,2326,3994,1893,8213
Nagpur,2018,1098,4761,950,6809
Ludhiana,2019,873,1792,1796,4461
Bangalore,2019,1264,2908,537,4709
Vijayawada,2018,1751,4843,1063,7657
Thane,2018,1318,2535,905,4758
Faridabad,2017,1328,2913,971,5212
Amritsar,2019,2543,4789,324,7656
Solapur,2019,2131,3844,1614,7589
Madurai,2019,2294,1029,1068,4391
Hyderabad,2019,2370,1800,1073,5243
Mumbai,2017,2970,812,1823,5605
Indore,2018,1055,3239,633,4927
Kota,2018,908,2932,1356,5196
Bangalore,2019,2245,3951,1023,7219
Kalyan,2017,722,2770,1172,4664
Madurai,2017,2142,2517,1376,6035
Hubli,2019,1461,923,1592,3976
Indore,2018,2556,3650,607,6813
Delhi,2017,1541,1634,854,4029
Patna,2018,1159,2153,1753,5065
Kanpur,2018,534,4020,1394,5948
Gwalior,2017,2021,3504,1458,6983
Bhopal,2018,1638,2286,500,4424
Jaipur,2019,2806,831,1816,5453
Ludhiana,2019,2743,2217,540,5500
Navi Mumbai,2018,2981,4572,975,8528
Nashik,2019,1528,4227,723,6478
Kolkata,2018,2149,836,1724,4709
Madurai,2019,2219,2565,601,5385
Kota,2018,968,4570,601,6139
Howrah,2017,2848,4841,1605,9294
Delhi,2017,2880,1875,1506,6261
Kalyan,2019,947,1972,1839,4758
Navi Mumbai,2019,1948,1619,703,4270
Visakhapatnam,2018,1245,1335,1162,3742
Patna,2018,1918,1271,525,3714
Chennai,2017,2865,3518,743,7126
Navi Mumbai,2017,2248,884,1454,4586
Madurai,2018,1892,4187,1503,7582
Nagpur,2018,979,4239,1362,6580
Vasai,2019,622,3462,421,4505
Raipur,2018,2674,1408,1460,5542
Bangalore,2019,885,4053,1962,6900
Varanasi,2017,1757,2687,1458,5902
Ahmedabad,2019,693,4792,473,5958
Guwahati,2019,2258,4424,350,7032
Vijayawada,2019,914,3298,1581,5793
Rajkot,2018,1108,2522,1595,5225
Ranchi,2017,1582,1509,1536,4627
Meerut,2017,2219,4540,1075,7834
Kanpur,2019,2173,3484,309,5966
Bhopal,2017,2955,3234,876,7065
Agra,2019,1265,4388,1014,6667
Lucknow,2019,2525,4049,1443,8017
Bhopal,2017,1124,3769,667,5560
Jabalpur,2018,760,4415,1617,6792
Patna,2017,1527,3004,769,5300
Varanasi,2018,828,1721,1213,3762
Ahmedabad,2017,1811,3151,1209,6171
Visakhapatnam,2018,2780,1063,437,4280
Jodhpur,2019,1497,1785,1727,5009
Allahabad,2018,2230,2936,372,5538
Ahmedabad,2018,521,3684,1481,5686
Chennai,2017,2914,1220,752,4886
Navi Mumbai,2019,2920,4829,1428,9177
Vasai,2019,766,1534,691,2991
Ludhiana,2019,796,3577,1429,5802
Ludhiana,2019,2407,3101,1266,6774
Ahmedabad,2019,1686,2006,1172,4864
Hyderabad,2017,528,4849,1972,7349
Gwalior,2019,2487,2366,929,5782
Gwalior,2019,1052,3488,1879,6419
Kanpur,2018,2739,2983,737,6459
Allahabad,2018,1536,3102,1876,6514
Thane,2018,2609,2470,1014,6093
Aurangabad,2018,1658,2348,1901,5907
Vadodara,2019,538,4894,911,6343
Lucknow,2017,2589,4888,650,8127
Jabalpur,2019,2010,1274,1126,4410
Jabalpur,2019,2034,1891,1015,4940
Guwahati,2019,725,4877,1833,7435
Hyderabad,2017,1817,2518,1886,6221
Solapur,2017,2159,2948,606,5713
Jodhpur,2019,684,1494,1327,3505
Ranchi,2018,650,3158,344,4152
Patna,2019,1567,964,1003,3534
Aurangabad,2018,820,3544,1462,5826
Aurangabad,2017,1038,2453,452,3943
Jaipur,2018,2771,4436,1286,8493
Mumbai,2018,2233,4400,551,7184
Ghaziabad,2019,1015,4314,1092,6421
Ahmedabad,2017,1751,4852,947,7550
Kanpur,2019,816,4734,405,5955
Allahabad,2017,1680,3120,448,5248
Solapur,2018,2900,4360,1647,8907
Ludhiana,2017,1321,3509,1788,6618
Kanpur,2019,1184,2272,913,4369
Kolkata,2019,2098,2580,1407,6085
Meerut,2017,1313,2119,351,3783
Ludhiana,2018,2719,3661,479,6859
Thane,2017,2402,1364,613,4379
Ghaziabad,2017,2497,2057,1254,5808
Nashik,2017,925,2542,870,4337
Ahmedabad,2017,1077,4292,554,5923
Rajkot,2017,1093,4050,763,5906
Vijayawada,2019,2176,1633,1237,5046
Mumbai,2017,1053,2713,1616,5382
Kolkata,2017,2323,2321,937,5581
Patna,2018,970,2236,893,4099
Ghaziabad,2017,2846,1962,673,5481
Madurai,2019,2309,3471,1277,7057
Aurangabad,2017,1243,3920,648,5811
Patna,2017,2427,3296,374,6097
Aurangabad,2019,1844,3961,1993,7798
Bhopal,2017,2506,3292,390,6188
Rajkot,2017,1725,2477,1313,5515
Hyderabad,2017,1425,4298,1933,7656
Howrah,2017,1279,4306,383,5968
Thane,2018,751,3410,1901,6062
Thane,2018,647,1181,1299,3127
Guwahati,2018,1024,4842,448,6314
Chandigarh,2018,1739,4587,695,7021
Navi Mumbai,2018,2885,1467,1242,5594
Jabalpur,2019,1835,4652,1859,8346
Madurai,2017,2352,3068,1775,7195
Jabalpur,2018,2332,2784,1709,6825
Aurangabad,2018,537,2085,616,3238
Jodhpur,2019,1938,4756,562,7256
Vijayawada,2019,2777,812,685,4274
Faridabad,2017,629,2761,845,4235
Nashik,2017,1895,1225,735,3855
Ranchi,2018,2807,4314,1962,9083
Ludhiana,2017,2518,1936,1935,6389
Faridabad,2019,2946,4371,1854,9171
Kanpur,2018,1101,3045,1590,5736
Pune,2018,2201,4416,441,7058
Pune,2017,2095,1135,1504,4734
Srinagar,2018,1577,3616,608,5801
Coimbatore,2019,546,4915,1304,6765
Agra,2018,2697,2039,1802,6538
Rajkot,2018,1668,1078,508,3254
Hubli,2019,981,2568,1883,5432
Patna,2018,1911,2038,651,4600
Thane,2018,974,4900,1578,7452
Ahmedabad,2018,1633,2705,396,4734
Faridabad,2017,1013,3917,1366,6296
Faridabad,2019,628,4759,427,5814
Nashik,2019,1356,1692,1247,4295
Coimbatore,2017,1047,2254,1316,4617
Faridabad,2019,648,2215,1995,4858
Madurai,2018,1092,1654,1319,4065
Jabalpur,2018,1286,4874,1946,8106
Srinagar,2019,2890,3918,1078,7886
Amritsar,2017,1367,3980,477,5824
Nagpur,2017,1520,1594,891,4005
Kolkata,2019,653,4110,1705,6468
Hubli,2017,1584,4133,1279,6996
Vijayawada,2017,886,2470,984,4340
Hyderabad,2019,639,1779,1293,3711
Raipur,2018,1173,3948,971,6092
Howrah,2017,1705,3941,393,6039
Guwahati,2019,2717,3354,942,7013
Agra,2018,563,4026,1450,6039
Solapur,2017,2741,4491,803,8035
Lucknow,2019,1567,2481,553,4601
Kanpur,2018,2686,3471,1015,7172
Madurai,2017,2315,3921,1577,7813
Thane,2018,1026,1559,1627,4212
Hubli,2019,2326,4646,1984,8956
Vadodara,2018,799,3906,1925,6630
Hubli,2019,1750,3309,906,5965
Varanasi,2019,1763,3260,876,5899
Vadodara,2017,1339,4067,1280,6686
Meerut,2019,1401,1755,757,3913
Raipur,2019,1139,996,1863,3998
Kota,2019,2135,1335,1893,5363
Kalyan,2019,641,3517,332,4490
Amritsar,2018,2027,1711,1273,5011
Patna,2019,1153,3151,1225,5529
Coimbatore,2017,843,1919,867,3629
Srinagar,2019,983,2080,1622,4685
Solapur,2018,1319,3457,1803,6579
Coimbatore,2017,1610,4185,1440,7235
Kanpur,2019,949,1478,394,2821
Vadodara,2017,2287,4184,1523,7994
Nashik,2018,2936,4458,1103,8497
Pune,2019,1600,2564,1458,5622
Ahmedabad,2019,2737,4864,684,8285
Varanasi,2019,1030,4429,988,6447
Navi Mumbai,2018,1682,4598,1875,8155
Patna,2019,2484,1036,924,4444
Hubli,2017,2236,998,1054,4288
Meerut,2019,1991,1598,811,4400
Jabalpur,2019,570,3023,514,4107
Nashik,2018,1968,1802,629,4399
Nashik,2019,864,1770,915,3549
Srinagar,2018,1612,2765,931,5308
Agra,2018,2530,3857,1204,7591
Vadodara,2018,2435,3878,1404,7717
Dhanbad,2018,2260,3347,1063,6670
Navi Mumbai,2017,2362,4579,1871,8812
Faridabad,2018,979,2164,556,3699
Coimbatore,2019,847,2202,1738,4787
Madurai,2018,1671,1096,1835,4602
Mumbai,2018,1728,4048,1044,6820
Nagpur,2017,694,3418,1086,5198
Gwalior,2017,2614,4779,873,8266
Hubli,2019,1788,1895,1889,5572
Jabalpur,2017,2950,2776,1630,7356
Jodhpur,2017,2550,3214,1309,7073
Hubli,2019,1184,1254,1591,4029
Indore,2017,1200,1502,1251,3953
Bhopal,2019,2629,4552,325,7506
Hyderabad,2017,2388,2522,976,5886
Gwalior,2019,2123,1237,1372,4732
Meerut,2019,2993,1103,1814,5910
Meerut,2017,1758,2143,915,4816
Vadodara,2019,2621,3689,728,7038
Mumbai,2018,507,3083,1249,4839
Allahabad,2017,2991,3154,862,7007
Howrah,2019,2646,3766,1693,8105
Jodhpur,2018,2762,3767,634,7163
Vasai,2018,913,4349,1631,6893
Vadodara,2017,2464,2557,678,5699
Kota,2018,2190,2299,345,4834
Hubli,2019,519,1415,859,2793
Bangalore,2017,2631,4454,1663,8748
Chennai,2018,2210,4426,1314,7950
Madurai,2019,2420,1418,1235,5073
Hubli,2019,2895,941,1550,5386
Dhanbad,2018,1319,1516,1634,4469
Patna,2018,1647,3181,617,5445
Bhopal,2017,800,4438,958,6196
Ahmedabad,2018,2742,4263,1289,8294
Indore,2019,678,3264,627,4569
Indore,2018,2373,1082,1124,4579
Allahabad,2018,1204,4143,1701,7048
Howrah,2019,695,4512,1183,6390
Jodhpur,2019,1937,4551,1131,7619
Mumbai,2019,2976,3530,619,7125
Coimbatore,2018,2397,855,856,4108
Ludhiana,2018,1823,4360,501,6684
Amritsar,2019,2407,3445,512,6364
Mumbai,2018,568,3574,945,5087
Nagpur,2018,2677,4993,786,8456
Rajkot,2018,1557,3327,1046,5930
Bhopal,2018,1349,2146,350,3845
Ahmedabad,2019,1933,4325,1725,7983
Meerut,2017,2269,1595,1946,5810
Vasai,2019,2018,970,1107,4095
Allahabad,2018,2432,4426,607,7465
Lucknow,2017,1533,947,1977,4457
Kota,2017,776,4785,677,6238
Ghaziabad,2018,2202,2595,337,5134
Thane,2019,1702,3910,1445,7057
Kolkata,2017,2092,1344,443,3879
Vasai,2019,1881,2987,1337,6205
Bangalore,2019,560,2481,814,3855
Raipur,2019,544,3368,1649,5561
Patna,2018,2549,815,1285,4649
Ahmedabad,2017,2820,3434,1637,7891
Lucknow,2018,1853,4300,894,7047
Aurangabad,2018,945,1501,874,3320
Indore,2019,521,2004,1290,3815
Vijayawada,2019,1943,4078,1609,7630
Bangalore,2019,2399,2653,1937,6989
Coimbatore,2018,1533,2832,1618,5983
Aurangabad,2017,2047,1832,1762,5641
Rajkot,2018,889,4568,1017,6474
Ahmedabad,2018,1424,1187,1627,4238
Madurai,2018,2273,3289,1182,6744
Ahmedabad,2018,2084,1929,1621,5634
Meerut,2017,1532,1435,755,3722
Agra,2019,1967,1076,972,4015
Meerut,2017,1921,4734,1063,7718
Solapur,2018,1495,1523,1094,4112
Bhopal,2018,2400,2762,702,5864
Howrah,2017,2958,4904,1716,9578
Mumbai,2018,2715,1096,1329,5140
Lucknow,2018,1693,4415,1991,8099
Lucknow,2019,2877,3319,1018,7214
Hubli,2019,2691,3536,1336,7563
Jaipur,2018,1074,1010,745,2829
Nagpur,2018,2536,3277,685,6498
Lucknow,2017,1659,3228,1724,6611
Chandigarh,2017,2966,3749,1170,7885
Nagpur,2018,1651,4172,1053,6876
Gwalior,2019,544,4966,1297,6807
Raipur,2017,2463,3279,632,6374
Lucknow,2017,1678,4608,1520,7806
Meerut,2017,1705,3738,1936,7379
Srinagar,2017,2071,3305,611,5987
Kolkata,2018,1269,3510,1540,6319
Lucknow,2019,715,1492,856,3063
Jodhpur,2018,1607,2459,1260,5326
Lucknow,2019,2327,898,1911,5136
Lucknow,2017,1003,3555,544,5102
Kalyan,2018,2852,1611,1816,6279
Madurai,2017,1093,1069,812,2974
Solapur,2017,2317,1972,1834,6123
Indore,2018,1505,3346,405,5256
Nashik,2019,987,3880,1831,6698
Kalyan,2018,1753,898,995,3646
Pune,2019,2237,3635,407,6279
Aurangabad,2018,2052,3606,1595,7253
Amritsar,2018,1431,3283,1886,6600
Kolkata,2019,1550,4950,1463,7963
Rajkot,2019,2168,2948,1910,7026
Jabalpur,2018,1253,1876,835,3964
Kanpur,2017,823,4714,540,6077
Amritsar,2019,683,3256,1605,5544
Ranchi,2019,2126,2263,1934,6323
Vadodara,2018,1768,3686,1231,6685
Navi Mumbai,2017,1605,3363,1018,5986
Navi Mumbai,2017,1881,3302,1665,6848
Howrah,2019,686,1801,491,2978
Meerut,2018,974,2346,772,4092
Navi Mumbai,2018,1559,4656,763,6978
Coimbatore,2018,2565,1070,1332,4967
Allahabad,2017,2644,2432,1315,6391
Kolkata,2019,1389,1342,1207,3938
Bhopal,2019,1617,1235,1896,4748
Amritsar,2018,2979,2014,807,5800
Guwahati,2018,1732,1596,1496,4824
Agra,2017,1512,2918,616,5046
Chandigarh,2017,1156,3008,880,5044
Nashik,2018,984,3603,1040,5627
Agra,2018,606,3234,641,4481
Amritsar,2019,1842,2318,1731,5891
Kanpur,2019,2890,3821,1092,7803
Hyderabad,2019,2826,1455,1200,5481
Faridabad,2018,1419,4005,1743,7167
Bangalore,2019,2137,3720,715,6572
Navi Mumbai,2017,2511,1960,1049,5520
Vijayawada,2019,2085,2524,1874,6483
Mumbai,2018,1185,4476,1921,7582
Delhi,2017,1051,3440,1110,5601
Jabalpur,2017,1281,2931,1569,5781
Raipur,2018,2797,4571,945,8313
Patna,2017,544,2017,793,3354
Kota,2019,2593,1915,910,5418
Nashik,2018,2714,1610,805,5129
Aurangabad,2019,889,2240,1812,4941
Vadodara,2017,723,4593,1215,6531
Kota,2019,2280,4819,1939,9038
Ludhiana,2017,694,2595,1505,4794
Indore,2019,2705,4129,1673,8507
Vadodara,2018,2039,3300,1687,7026
Kanpur,2017,1418,4175,521,6114
Jaipur,2017,834,4542,703,6079
Howrah,2019,943,1249,1641,3833
Srinagar,2017,1440,4696,864,7000
Dhanbad,2017,2475,1515,1164,5154
Kota,2019,570,3408,1953,5931
Gwalior,2018,2619,1908,699,5226
Vasai,2017,2881,1435,568,4884
Raipur,2018,559,4817,1226,6602
Thane,2019,626,3994,1970,6590
Jodhpur,2019,1136,4078,1086,6300
Madurai,2018,786,980,1664,3430
Ranchi,2018,1206,1036,1614,3856
Kolkata,2017,2108,3476,1944,7528
Navi Mumbai,2017,1238,2764,914,4916
Kanpur,2018,1196,1128,1730,4054
Faridabad,2017,2826,4932,1067,8825
Hyderabad,2017,946,3202,1162,5310
Navi Mumbai,2019,578,2910,1563,5051
Jodhpur,2018,1415,3744,1368,6527
Nashik,2019,987,3099,478,4564
Patna,2018,702,2648,1111,4461
Allahabad,2019,1938,3516,922,6376
Solapur,2018,1569,4136,1544,7249
Kota,2019,994,3393,1106,5493
Coimbatore,2018,2737,1478,1006,5221
Meerut,2018,1079,1425,1447,3951
Vadodara,2017,2852,4680,1341,8873
Chandigarh,2017,2494,4066,856,7416
Lucknow,2018,2446,4812,873,8131
Agra,2017,791,4432,1986,7209
Srinagar,2017,1778,3429,1678,6885
Jaipur,2019,1556,1317,1008,3881
Agra,2019,2177,2870,1413,6460
Amritsar,2017,2522,920,833,4275
Gwalior,2019,640,1563,1857,4060
Kolkata,2018,2217,2424,1619,6260
Jodhpur,2018,924,3077,1942,5943
Kalyan,2017,1643,2484,1006,5133
Navi Mumbai,2017,2745,1954,573,5272
Madurai,2018,1213,2111,1275,4599
Kota,2017,1327,3958,782,6067
Gwalior,2018,1100,4950,1023,7073
Chandigarh,2019,2571,1514,1978,6063
Vijayawada,2018,2023,2381,1042,5446
Visakhapatnam,2017,1821,2404,929,5154
Ranchi,2017,1762,3955,1661,7378
Lucknow,2018,2408,1235,1533,5176
Srinagar,2018,780,4111,1662,6553
Delhi,2019,1287,3925,1814,7026
Amritsar,2018,2426,4078,971,7475
Faridabad,2018,1920,931,832,3683
Chandigarh,2018,2523,1761,822,5106
Varanasi,2018,1867,1845,787,4499
Coimbatore,2018,997,3451,479,4927
Rajkot,2018,1697,2906,1167,5770
Vasai,2017,1985,3916,1039,6940
Pune,2018,731,1226,1259,3216
Kalyan,2019,2825,1216,1605,5646
Hyderabad,2017,2130,3545,779,6454
Gwalior,2018,667,4369,1472,6508
Jodhpur,2019,2017,1413,1561,4991
Patna,2017,868,4192,1252,6312
Raipur,2017,2551,4286,324,7161
Raipur,2017,1289,1204,960,3453
Vadodara,2018,1598,3299,1617,6514
Chennai,2019,579,4578,997,6154
Kota,2018,2034,2845,479,5358
Hubli,2019,1785,4478,736,6999
Lucknow,2017,2403,1283,1041,4727
Delhi,2019,1110,3710,1067,5887
Lucknow,2018,2332,4207,1292,7831
Delhi,2019,848,3572,611,5031
Amritsar,2019,642,3505,1258,5405
Allahabad,2018,800,2436,1417,4653
Ahmedabad,2018,1774,2800,1648,6222
Thane,2018,2558,2151,1523,6232
Meerut,2019,2676,1036,1356,5068
Chennai,2018,1050,1046,785,2881
Nagpur,2017,998,1478,1918,4394
Bhopal,2017,2938,2258,1715,6911
Vadodara,2018,2423,2112,1792,6327
Ranchi,2018,1198,3543,1129,5870
Nashik,2017,2065,1034,1824,4923
Nashik,2017,2197,4206,731,7134
Howrah,2019,2566,3656,745,6967
Nagpur,2018,2899,1919,1427,6245
Kalyan,2019,1839,3367,1691,6897
Dhanbad,2018,1371,3438,1665,6474
Faridabad,2019,2962,4032,640,7634
Ahmedabad,2019,841,1295,1668,3804
Meerut,2019,1715,3169,893,5777
Ludhiana,2018,1844,4842,317,7003
Meerut,2018,751,975,1252,2978
Thane,2018,2531,2694,1806,7031
Solapur,2019,1267,2188,958,4413
Raipur,2019,753,2707,1474,4934
Meerut,2019,1940,1620,1159,4719
Vadodara,2019,713,3849,1978,6540
Kolkata,2017,1928,2447,1667,6042
Raipur,2019,1045,3300,582,4927
Gwalior,2018,688,3620,1801,6109
Vadodara,2019,796,3277,1019,5092
Madurai,2018,755,4134,1184,6073
Dhanbad,2019,1261,3646,641,5548
Vasai,2019,1386,3785,688,5859
Navi Mumbai,2017,1862,3798,431,6091
Ghaziabad,2018,594,3875,1898,6367
Bhopal,2018,1958,2273,816,5047
Chandigarh,2017,1211,3573,386,5170
Srinagar,2018,2358,2105,423,4886
Guwahati,2017,835,3225,1125,5185
Jaipur,2018,553,4346,1680,6579
Nagpur,2019,1135,3501,996,5632
Lucknow,2018,962,3712,400,5074
Chandigarh,2019,889,2414,490,3793
Delhi,2018,1928,2804,1326,6058
Ghaziabad,2017,1147,1977,1615,4739
Kanpur,2018,822,4181,1445,6448
Allahabad,2018,2428,3696,969,7093
Guwahati,2019,1668,3155,467,5290
Kota,2019,2719,2041,535,5295
Nagpur,2017,2999,2177,1268,6444
Mumbai,2017,663,4105,1358,6126
Delhi,2019,1362,3540,1201,6103
Howrah,2019,1224,4741,366,6331
Chennai,2017,1407,4326,1425,7158
Bhopal,2017,586,2259,1556,4401
Coimbatore,2019,2616,3340,679,6635
Howrah,2019,808,1261,965,3034
Visakhapatnam,2018,643,1999,567,3209
Vadodara,2019,1613,3547,1710,6870
Chandigarh,2017,2389,3820,1767,7976
Nagpur,2019,2399,3165,634,6198
Raipur,2019,1321,4617,1258,7196
Srinagar,2018,2409,4191,1478,8078
Allahabad,2018,2499,1390,1037,4926
Amritsar,2018,2377,3404,1581,7362
Delhi,2017,1050,4123,1625,6798
Faridabad,2019,667,2836,706,4209
Indore,2019,1048,2378,1553,4979
Kota,2019,1583,3168,715,5466
Delhi,2019,1863,3144,308,5315
Bhopal,2018,891,3310,1512,5713
Navi Mumbai,2018,1452,3666,399,5517
Srinagar,2019,1169,1335,1578,4082
Dhanbad,2019,682,1035,1044,2761
Delhi,2017,2647,4105,499,7251
Navi Mumbai,2019,2102,1325,326,3753
Patna,2019,2512,1437,662,4611
Indore,2019,2451,2541,365,5357
Agra,2019,696,4760,568,6024
Ranchi,2019,829,3785,1711,6325
Srinagar,2019,1743,4425,1427,7595
Kota,2019,1437,1367,822,3626
Indore,2018,529,1047,1827,3403
Varanasi,2019,855,3202,1426,5483
Kalyan,2019,809,4421,1271,6501
Ghaziabad,2017,1623,4696,469,6788
Hubli,2019,1867,2546,789,5202
Ahmedabad,2018,2215,4095,1037,7347
Coimbatore,2018,1448,3427,1907,6782
Ludhiana,2018,2733,2683,311,5727
Howrah,2019,2329,3788,1736,7853
Visakhapatnam,2017,2284,1719,1337,5340
Solapur,2019,1471,4624,408,6503
Chandigarh,2017,1814,3019,1270,6103
Meerut,2017,2745,3602,1120,7467
Srinagar,2018,1852,2517,1124,5493
Mumbai,2019,2478,1100,1324,4902
Ahmedabad,2018,2760,3083,1705,7548
Chandigarh,2018,1283,3996,959,6238
Nagpur,2018,2432,1266,1053,4751
Ranchi,2019,1660,1407,643,3710
Gwalior,2018,2861,3889,575,7325
Gwalior,2019,1213,4611,1412,7236
Bhopal,2018,2673,2577,1423,6673
Ghaziabad,2019,2439,4142,636,7217
