Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
PUDUCHERRY,Rural,Rural-Zone,Tech Park,Junction-1176,2,COMMERCIAL,205,204,291696.43,626.447
PORT BLAIR,Haddo,Zone-C,Railway Colony,Terrace-1177,2,COMMERCIAL,1423,1190,1402336.13,2018.27
SILVASSA,Amli,E3,New Extension,Heights-1178,2,COMMERCIAL,1254,960,1306693.68,9029.384
DAMAN,Moti Daman,Industrial-X,B-Block,Heights-1179,2,COMMERCIAL,2272,2086,2227205.33,6041.854
VIJAYAWADA,Governorpet,N2,Tech Park,Mews-1180,2,COMMERCIAL,2145,1710,1875907.69,3031.941
PASIGHAT,East Siang,W4,High Street,Plaza-1181,2,COMMERCIAL,1989,1619,2088230.6,7531.973
GUWAHATI,Maligaon,E3,Main Market,Square-1182,2,COMMERCIAL,1054,801,1009725.76,6923.438
PATNA,PESU West,N2,Tech Park,Complex-1183,2,COMMERCIAL,92,79,181543.69,675.594
RAIPUR,Abhanpur,S1,B-Block,Terrace-1184,2,COMMERCIAL,378,331,63346.3,2755.184
MARGAO,Division III,Rural-Zone,A-Block,Square-1185,2,COMMERCIAL,1489,1212,2393096.5,7293.369
VADODARA,Akota,Metro-A,B-Block,Mews-1186,2,COMMERCIAL,1094,970,2295390.48,2314.77
FARIDABAD,Ballabhgarh,Central-Hub,A-Block,Arcade-1187,2,COMMERCIAL,1230,1210,2407827.22,4505.091
SHIMLA,Kasumpti,Rural-Zone,Tech Park,Arcade-1188,2,COMMERCIAL,175,150,289432.13,1231.587
RANCHI,Central,N2,A-Block,Heights-1189,2,COMMERCIAL,1839,1506,2228130.0,1999.567
MYSURU,City,Rural-Zone,Railway Colony,Arcade-1190,2,COMMERCIAL,1121,979,531954.23,1721.16
TRIVANDRUM,Statue,Central-Hub,High Street,Junction-1191,2,COMMERCIAL,2330,1931,1058131.49,16939.596
INDORE,Rajwada,Industrial-X,B-Block,Mews-1192,2,COMMERCIAL,333,292,532498.39,634.685
NAGPUR,Sitabuldi,N2,Tech Park,Complex-1193,2,COMMERCIAL,417,367,86229.77,1979.924
IMPHAL,Division II,Rural-Zone,Tech Park,Terrace-1194,2,COMMERCIAL,406,376,346833.31,1111.181
SHILLONG,Laitumkhrah,E3,Tech Park,Plaza-1195,2,COMMERCIAL,706,604,1251867.74,3497.864
AIZAWL,Division I,Rural-Zone,High Street,Plaza-1196,2,COMMERCIAL,860,706,410805.18,4850.721
KOHIMA,Town Division,Rural-Zone,Railway Colony,Square-1197,2,COMMERCIAL,1473,1254,763708.19,5127.578
CUTTACK,CDD,Central-Hub,B-Block,Arcade-1198,2,COMMERCIAL,1734,1567,3649322.62,4230.979
LUDHIANA,City,Industrial-X,New Extension,Mews-1199,2,COMMERCIAL,1433,1229,2599401.9,4488.274
JODHPUR,City,S1,B-Block,Villas-1200,2,COMMERCIAL,690,553,493535.15,1829.366
GANGTOK,Division I,S1,New Extension,Junction-1201,2,COMMERCIAL,1082,990,740527.21,2472.936
COIMBATORE,Gandhipuram,N2,Tech Park,Heights-1202,2,COMMERCIAL,730,580,853026.28,5098.592
WARANGAL,Rural,Industrial-X,B-Block,Complex-1203,2,COMMERCIAL,2446,1913,1715690.45,15524.703
AGARTALA,Badharghat,Central-Hub,A-Block,Heights-1204,2,COMMERCIAL,980,770,1907668.72,905.541
KANPUR,Civil Lines,E3,B-Block,Junction-1205,2,COMMERCIAL,1686,1649,3444720.8,6293.249
DEHRADUN,North,Industrial-X,Railway Colony,Plaza-1206,2,COMMERCIAL,540,505,543433.73,1377.76
KOLKATA,Behala,Industrial-X,A-Block,Terrace-1207,2,COMMERCIAL,1078,862,2313262.01,5329.626
CENTRAL DELHI,Connaught Place,Rural-Zone,Railway Colony,Heights-1208,2,COMMERCIAL,2468,2264,424480.84,9479.45
JAMMU,Canal Division,Zone-C,Railway Colony,Heights-1209,2,COMMERCIAL,728,723,1329980.02,2174.799
KARGIL,Town Division,Rural-Zone,Tech Park,Junction-1210,2,COMMERCIAL,797,639,1636226.61,5848.062
CHANDIGARH,Sector 17,E3,Tech Park,Mews-1211,2,COMMERCIAL,726,721,744115.55,631.04
PUDUCHERRY,Oulgaret,Rural-Zone,Main Market,Junction-1212,2,COMMERCIAL,1647,1265,2174686.24,4004.099
PORT BLAIR,City Circle,Zone-C,Tech Park,Junction-1213,2,COMMERCIAL,1233,988,1635209.43,2134.62
SILVASSA,Amli,Metro-A,New Extension,Villas-1214,2,COMMERCIAL,196,189,189130.21,478.434
DAMAN,Nani Daman,E3,High Street,Junction-1215,2,COMMERCIAL,1205,935,2266669.11,2929.711
TIRUPATI,Renigunta,S1,B-Block,Plaza-1216,2,COMMERCIAL,562,509,1206259.16,4120.158
PASIGHAT,East Siang,Zone-C,New Extension,Square-1217,2,COMMERCIAL,281,272,286317.35,1151.205
GUWAHATI,Paltan Bazar,Metro-A,Main Market,Complex-1218,2,COMMERCIAL,1130,1123,736825.8,3787.587
MUZAFFARPUR,Bela,Zone-C,High Street,Terrace-1219,2,COMMERCIAL,1623,1451,1464792.03,10635.12
RAIPUR,Abhanpur,E3,Main Market,Mews-1220,2,COMMERCIAL,1178,1095,2368702.04,2665.596
MARGAO,Division III,Zone-C,A-Block,Junction-1221,2,COMMERCIAL,1814,1518,3029090.15,3708.781
AHMEDABAD,Maninagar,Central-Hub,New Extension,Complex-1222,2,COMMERCIAL,627,543,924012.04,3479.318
FARIDABAD,Ballabhgarh,Zone-C,Main Market,Square-1223,2,COMMERCIAL,570,465,1165668.67,884.264
DHARAMSHALA,Kangra,Industrial-X,Main Market,Terrace-1224,2,COMMERCIAL,646,625,544279.04,565.066
RANCHI,Central,E3,Tech Park,Complex-1225,2,COMMERCIAL,683,582,909707.57,3902.719
BENGALURU,Malleswaram,Zone-C,B-Block,Plaza-1226,2,COMMERCIAL,2283,1929,954102.69,16201.064
TRIVANDRUM,Vattiyoorkavu,N2,Railway Colony,Square-1227,2,COMMERCIAL,1986,1675,4074042.02,4654.94
INDORE,MG Road,Rural-Zone,High Street,Plaza-1228,2,COMMERCIAL,813,784,1575330.65,1426.898
PUNE,Kothrud,N2,B-Block,Square-1229,2,COMMERCIAL,2124,2020,613119.28,10403.779
IMPHAL,Division I,Metro-A,Tech Park,Plaza-1230,2,COMMERCIAL,1551,1299,2057406.99,8458.481
SHILLONG,East Khasi,E3,New Extension,Junction-1231,2,COMMERCIAL,1913,1518,3100743.11,11576.456
AIZAWL,Division I,Township,A-Block,Heights-1232,2,COMMERCIAL,1963,1613,3810902.53,11867.151
KOHIMA,Rural,Central-Hub,B-Block,Square-1233,2,COMMERCIAL,2198,1715,2525412.58,9880.06
BHUBANESWAR,BCP,Industrial-X,A-Block,Villas-1234,2,COMMERCIAL,399,340,831730.06,760.918
LUDHIANA,City,S1,High Street,Complex-1235,2,COMMERCIAL,21,19,13693.22,42.793
JODHPUR,Sardarpura,Zone-C,A-Block,Square-1236,2,COMMERCIAL,1390,1280,446312.03,5653.879
GANGTOK,Division II,N2,New Extension,Complex-1237,2,COMMERCIAL,1042,811,2245664.13,5496.681
COIMBATORE,RS Puram,Metro-A,New Extension,Junction-1238,2,COMMERCIAL,899,802,694151.54,3770.543
WARANGAL,Rural,E3,High Street,Plaza-1239,2,COMMERCIAL,606,545,743822.77,671.171
AGARTALA,Division II,Rural-Zone,B-Block,Complex-1240,2,COMMERCIAL,1104,1092,2364922.45,6988.828
KANPUR,Azad Nagar,N2,Railway Colony,Villas-1241,2,COMMERCIAL,884,831,597015.64,4723.885
