DateTime,City,Consumption_kWh
2024-01-06 21:00:00,Vasai,3040
2024-01-06 22:00:00,Lucknow,3927
2024-01-06 23:00:00,Meerut,2071
2024-01-07 00:00:00,Vadodara,2141
2024-01-07 01:00:00,Patna,2110
2024-01-07 02:00:00,Navi Mumbai,2347
2024-01-07 03:00:00,Madurai,1403
2024-01-07 04:00:00,Dhanbad,2185
2024-01-07 05:00:00,Aurangabad,1771
2024-01-07 06:00:00,Srinagar,2060
2024-01-07 07:00:00,Rajkot,2346
2024-01-07 08:00:00,Ranchi,1429
2024-01-07 09:00:00,Nashik,2929
2024-01-07 10:00:00,Lucknow,3053
2024-01-07 11:00:00,Jabalpur,2159
2024-01-07 12:00:00,Kolkata,2890
2024-01-07 13:00:00,Varanasi,3058
2024-01-07 14:00:00,Nashik,2238
2024-01-07 15:00:00,Guwahati,2731
2024-01-07 16:00:00,Madurai,2599
2024-01-07 17:00:00,Hyderabad,2914
2024-01-07 18:00:00,Nagpur,3695
2024-01-07 19:00:00,Solapur,3143
2024-01-07 20:00:00,Guwahati,4492
2024-01-07 21:00:00,Indore,3053
2024-01-07 22:00:00,Thane,3433
2024-01-07 23:00:00,Srinagar,1967
2024-01-08 00:00:00,Ranchi,1568
2024-01-08 01:00:00,Nashik,2209
2024-01-08 02:00:00,Ranchi,1558
2024-01-08 03:00:00,Kanpur,1715
2024-01-08 04:00:00,Coimbatore,1825
2024-01-08 05:00:00,Varanasi,2453
2024-01-08 06:00:00,Raipur,2007
2024-01-08 07:00:00,Patna,1732
2024-01-08 08:00:00,Kanpur,2032
2024-01-08 09:00:00,Indore,2928
2024-01-08 10:00:00,Amritsar,2125
2024-01-08 11:00:00,Jodhpur,3341
2024-01-08 12:00:00,Bangalore,3320
2024-01-08 13:00:00,Meerut,2689
2024-01-08 14:00:00,Ludhiana,2688
2024-01-08 15:00:00,Thane,2645
2024-01-08 16:00:00,Faridabad,2925
2024-01-08 17:00:00,Srinagar,2835
2024-01-08 18:00:00,Mumbai,3401
2024-01-08 19:00:00,Lucknow,3064
2024-01-08 20:00:00,Guwahati,3486
2024-01-08 21:00:00,Allahabad,3731
2024-01-08 22:00:00,Chennai,3114
2024-01-08 23:00:00,Hyderabad,1684
2024-01-09 00:00:00,Srinagar,1902
2024-01-09 01:00:00,Thane,2005
2024-01-09 02:00:00,Faridabad,1853
2024-01-09 03:00:00,Coimbatore,1721
2024-01-09 04:00:00,Chennai,1825
2024-01-09 05:00:00,Srinagar,1423
2024-01-09 06:00:00,Visakhapatnam,1580
2024-01-09 07:00:00,Navi Mumbai,2376
2024-01-09 08:00:00,Aurangabad,2202
2024-01-09 09:00:00,Varanasi,3265
2024-01-09 10:00:00,Delhi,2221
2024-01-09 11:00:00,Kolkata,2399
2024-01-09 12:00:00,Solapur,2862
2024-01-09 13:00:00,Gwalior,2467
2024-01-09 14:00:00,Rajkot,3040
2024-01-09 15:00:00,Madurai,2519
2024-01-09 16:00:00,Ghaziabad,3020
2024-01-09 17:00:00,Aurangabad,2791
2024-01-09 18:00:00,Agra,3761
2024-01-09 19:00:00,Guwahati,3593
2024-01-09 20:00:00,Raipur,3132
2024-01-09 21:00:00,Amritsar,3428
2024-01-09 22:00:00,Indore,3607
2024-01-09 23:00:00,Navi Mumbai,2042
2024-01-10 00:00:00,Vasai,2013
2024-01-10 01:00:00,Pune,1438
2024-01-10 02:00:00,Ghaziabad,2435
2024-01-10 03:00:00,Hubli,2499
2024-01-10 04:00:00,Coimbatore,1976
2024-01-10 05:00:00,Mumbai,1440
2024-01-10 06:00:00,Bhopal,2233
2024-01-10 07:00:00,Gwalior,2373
2024-01-10 08:00:00,Kota,1471
2024-01-10 09:00:00,Solapur,1975
2024-01-10 10:00:00,Agra,2064
2024-01-10 11:00:00,Indore,3332
2024-01-10 12:00:00,Jabalpur,2073
2024-01-10 13:00:00,Delhi,2819
2024-01-10 14:00:00,Bangalore,2485
2024-01-10 15:00:00,Navi Mumbai,2494
2024-01-10 16:00:00,Aurangabad,3037
2024-01-10 17:00:00,Dhanbad,2439
2024-01-10 18:00:00,Bhopal,3047
2024-01-10 19:00:00,Patna,4213
2024-01-10 20:00:00,Howrah,4294
2024-01-10 21:00:00,Madurai,2954
2024-01-10 22:00:00,Coimbatore,4597
2024-01-10 23:00:00,Kanpur,1631
2024-01-11 00:00:00,Raipur,2099
2024-01-11 01:00:00,Pune,2141
2024-01-11 02:00:00,Hubli,1762
2024-01-11 03:00:00,Dhanbad,2002
2024-01-11 04:00:00,Kota,1406
2024-01-11 05:00:00,Chandigarh,2141
2024-01-11 06:00:00,Ludhiana,2287
2024-01-11 07:00:00,Mumbai,2055
2024-01-11 08:00:00,Kanpur,2361
2024-01-11 09:00:00,Hubli,2362
2024-01-11 10:00:00,Hubli,3175
2024-01-11 11:00:00,Nashik,2552
2024-01-11 12:00:00,Gwalior,2937
2024-01-11 13:00:00,Jaipur,2484
2024-01-11 14:00:00,Gwalior,2541
2024-01-11 15:00:00,Howrah,3179
2024-01-11 16:00:00,Kota,2859
2024-01-11 17:00:00,Ahmedabad,3124
2024-01-11 18:00:00,Aurangabad,4222
2024-01-11 19:00:00,Bangalore,3096
2024-01-11 20:00:00,Amritsar,3710
2024-01-11 21:00:00,Chennai,3957
2024-01-11 22:00:00,Pune,4108
2024-01-11 23:00:00,Kanpur,1680
2024-01-12 00:00:00,Kalyan,2489
2024-01-12 01:00:00,Guwahati,1436
2024-01-12 02:00:00,Madurai,2278
2024-01-12 03:00:00,Pune,1922
2024-01-12 04:00:00,Aurangabad,1483
2024-01-12 05:00:00,Coimbatore,1838
2024-01-12 06:00:00,Delhi,1829
2024-01-12 07:00:00,Allahabad,1366
2024-01-12 08:00:00,Thane,1963
2024-01-12 09:00:00,Bhopal,2902
2024-01-12 10:00:00,Delhi,2471
2024-01-12 11:00:00,Chennai,2712
2024-01-12 12:00:00,Lucknow,2901
2024-01-12 13:00:00,Lucknow,2999
2024-01-12 14:00:00,Ahmedabad,2787
2024-01-12 15:00:00,Jabalpur,2722
2024-01-12 16:00:00,Ahmedabad,2252
2024-01-12 17:00:00,Ahmedabad,2888
2024-01-12 18:00:00,Raipur,2612
2024-01-12 19:00:00,Hyderabad,2799
2024-01-12 20:00:00,Gwalior,3254
2024-01-12 21:00:00,Aurangabad,4260
2024-01-12 22:00:00,Vasai,3891
2024-01-12 23:00:00,Thane,1637
2024-01-13 00:00:00,Nashik,1611
2024-01-13 01:00:00,Amritsar,2210
2024-01-13 02:00:00,Rajkot,2080
2024-01-13 03:00:00,Vijayawada,1667
2024-01-13 04:00:00,Vijayawada,1897
2024-01-13 05:00:00,Delhi,1722
2024-01-13 06:00:00,Bhopal,1795
2024-01-13 07:00:00,Jodhpur,1546
2024-01-13 08:00:00,Howrah,1734
2024-01-13 09:00:00,Thane,2692
2024-01-13 10:00:00,Vijayawada,2357
2024-01-13 11:00:00,Howrah,3043
2024-01-13 12:00:00,Raipur,3240
2024-01-13 13:00:00,Mumbai,1990
2024-01-13 14:00:00,Kalyan,2743
2024-01-13 15:00:00,Agra,2535
2024-01-13 16:00:00,Bangalore,2690
2024-01-13 17:00:00,Nashik,3145
2024-01-13 18:00:00,Kalyan,4514
2024-01-13 19:00:00,Raipur,4438
2024-01-13 20:00:00,Raipur,3926
2024-01-13 21:00:00,Ludhiana,3123
2024-01-13 22:00:00,Vadodara,4325
2024-01-13 23:00:00,Indore,1721
2024-01-14 00:00:00,Bangalore,1803
2024-01-14 01:00:00,Guwahati,1895
2024-01-14 02:00:00,Raipur,1703
2024-01-14 03:00:00,Ahmedabad,2303
2024-01-14 04:00:00,Vasai,2156
2024-01-14 05:00:00,Pune,1806
2024-01-14 06:00:00,Dhanbad,2342
2024-01-14 07:00:00,Ludhiana,2205
2024-01-14 08:00:00,Meerut,2380
2024-01-14 09:00:00,Raipur,2201
2024-01-14 10:00:00,Kota,2897
2024-01-14 11:00:00,Kalyan,2160
2024-01-14 12:00:00,Amritsar,2585
2024-01-14 13:00:00,Guwahati,3113
2024-01-14 14:00:00,Solapur,2304
2024-01-14 15:00:00,Srinagar,2838
2024-01-14 16:00:00,Kolkata,2715
2024-01-14 17:00:00,Kota,2772
2024-01-14 18:00:00,Varanasi,2767
2024-01-14 19:00:00,Vijayawada,3416
2024-01-14 20:00:00,Chandigarh,3399
2024-01-14 21:00:00,Visakhapatnam,3390
2024-01-14 22:00:00,Coimbatore,3190
2024-01-14 23:00:00,Lucknow,2581
2024-01-15 00:00:00,Agra,1664
2024-01-15 01:00:00,Solapur,2331
2024-01-15 02:00:00,Vijayawada,1928
2024-01-15 03:00:00,Agra,1702
2024-01-15 04:00:00,Madurai,2257
2024-01-15 05:00:00,Lucknow,2295
2024-01-15 06:00:00,Agra,1884
2024-01-15 07:00:00,Coimbatore,1608
2024-01-15 08:00:00,Madurai,2149
2024-01-15 09:00:00,Dhanbad,2207
2024-01-15 10:00:00,Vasai,2594
2024-01-15 11:00:00,Lucknow,2515
2024-01-15 12:00:00,Thane,2985
2024-01-15 13:00:00,Howrah,2360
2024-01-15 14:00:00,Allahabad,2487
2024-01-15 15:00:00,Guwahati,2982
2024-01-15 16:00:00,Faridabad,2086
2024-01-15 17:00:00,Coimbatore,2332
2024-01-15 18:00:00,Bhopal,4572
2024-01-15 19:00:00,Jodhpur,4096
2024-01-15 20:00:00,Meerut,3416
2024-01-15 21:00:00,Ludhiana,4239
2024-01-15 22:00:00,Bhopal,4404
2024-01-15 23:00:00,Guwahati,2325
2024-01-16 00:00:00,Howrah,2259
2024-01-16 01:00:00,Hyderabad,2017
2024-01-16 02:00:00,Aurangabad,1307
2024-01-16 03:00:00,Delhi,1364
2024-01-16 04:00:00,Ahmedabad,1335
2024-01-16 05:00:00,Aurangabad,2425
2024-01-16 06:00:00,Rajkot,1658
2024-01-16 07:00:00,Mumbai,1856
2024-01-16 08:00:00,Delhi,2000
2024-01-16 09:00:00,Hubli,3198
2024-01-16 10:00:00,Raipur,2175
2024-01-16 11:00:00,Ludhiana,2454
2024-01-16 12:00:00,Kolkata,2350
2024-01-16 13:00:00,Nashik,2655
2024-01-16 14:00:00,Agra,2520
2024-01-16 15:00:00,Jabalpur,2625
2024-01-16 16:00:00,Jaipur,3070
2024-01-16 17:00:00,Dhanbad,2136
2024-01-16 18:00:00,Jaipur,4003
2024-01-16 19:00:00,Agra,4454
2024-01-16 20:00:00,Bhopal,4170
2024-01-16 21:00:00,Srinagar,3478
2024-01-16 22:00:00,Mumbai,3798
2024-01-16 23:00:00,Bhopal,2238
2024-01-17 00:00:00,Howrah,1926
2024-01-17 01:00:00,Jodhpur,2018
2024-01-17 02:00:00,Hyderabad,1633
2024-01-17 03:00:00,Bhopal,2333
2024-01-17 04:00:00,Amritsar,1467
2024-01-17 05:00:00,Lucknow,2435
2024-01-17 06:00:00,Chandigarh,2078
2024-01-17 07:00:00,Vasai,2311
2024-01-17 08:00:00,Kolkata,1702
2024-01-17 09:00:00,Lucknow,2288
2024-01-17 10:00:00,Patna,2545
2024-01-17 11:00:00,Kalyan,2643
2024-01-17 12:00:00,Solapur,2259
2024-01-17 13:00:00,Ghaziabad,2532
2024-01-17 14:00:00,Kolkata,2539
2024-01-17 15:00:00,Agra,2499
2024-01-17 16:00:00,Kalyan,2488
2024-01-17 17:00:00,Chandigarh,2228
2024-01-17 18:00:00,Rajkot,3615
2024-01-17 19:00:00,Kalyan,3886
2024-01-17 20:00:00,Vijayawada,4308
2024-01-17 21:00:00,Ludhiana,3776
2024-01-17 22:00:00,Delhi,4097
2024-01-17 23:00:00,Chennai,1732
2024-01-18 00:00:00,Chandigarh,1714
2024-01-18 01:00:00,Jodhpur,1639
2024-01-18 02:00:00,Bhopal,2162
2024-01-18 03:00:00,Rajkot,1521
2024-01-18 04:00:00,Nagpur,1705
2024-01-18 05:00:00,Delhi,1684
2024-01-18 06:00:00,Faridabad,1952
2024-01-18 07:00:00,Meerut,1802
2024-01-18 08:00:00,Faridabad,2087
2024-01-18 09:00:00,Agra,2502
2024-01-18 10:00:00,Chandigarh,3386
2024-01-18 11:00:00,Jabalpur,2984
2024-01-18 12:00:00,Rajkot,2961
2024-01-18 13:00:00,Chandigarh,2460
2024-01-18 14:00:00,Solapur,2873
2024-01-18 15:00:00,Meerut,2043
2024-01-18 16:00:00,Pune,3076
2024-01-18 17:00:00,Jodhpur,2135
2024-01-18 18:00:00,Amritsar,4124
2024-01-18 19:00:00,Chennai,4444
2024-01-18 20:00:00,Patna,3905
2024-01-18 21:00:00,Hubli,3892
2024-01-18 22:00:00,Ranchi,4258
2024-01-18 23:00:00,Rajkot,1532
2024-01-19 00:00:00,Meerut,1855
2024-01-19 01:00:00,Vijayawada,1741
2024-01-19 02:00:00,Lucknow,2297
2024-01-19 03:00:00,Coimbatore,1779
2024-01-19 04:00:00,Patna,2045
2024-01-19 05:00:00,Nashik,1932
2024-01-19 06:00:00,Meerut,1810
2024-01-19 07:00:00,Nagpur,1783
2024-01-19 08:00:00,Raipur,2342
2024-01-19 09:00:00,Delhi,2157
2024-01-19 10:00:00,Coimbatore,2630
2024-01-19 11:00:00,Mumbai,2742
2024-01-19 12:00:00,Allahabad,2327
2024-01-19 13:00:00,Jaipur,3129
2024-01-19 14:00:00,Guwahati,2881
2024-01-19 15:00:00,Nashik,2547
2024-01-19 16:00:00,Solapur,2720
2024-01-19 17:00:00,Gwalior,2488
2024-01-19 18:00:00,Chandigarh,2732
2024-01-19 19:00:00,Dhanbad,3314
2024-01-19 20:00:00,Hyderabad,3950
2024-01-19 21:00:00,Mumbai,4281
2024-01-19 22:00:00,Allahabad,3044
2024-01-19 23:00:00,Dhanbad,1872
2024-01-20 00:00:00,Visakhapatnam,1494
2024-01-20 01:00:00,Varanasi,1388
2024-01-20 02:00:00,Vadodara,2294
2024-01-20 03:00:00,Amritsar,1448
2024-01-20 04:00:00,Hyderabad,2073
2024-01-20 05:00:00,Guwahati,1599
2024-01-20 06:00:00,Lucknow,1684
2024-01-20 07:00:00,Gwalior,2339
2024-01-20 08:00:00,Faridabad,2018
2024-01-20 09:00:00,Pune,2871
2024-01-20 10:00:00,Dhanbad,2119
2024-01-20 11:00:00,Chennai,1994
2024-01-20 12:00:00,Ludhiana,2334
2024-01-20 13:00:00,Aurangabad,2652
2024-01-20 14:00:00,Gwalior,3168
2024-01-20 15:00:00,Jodhpur,2552
2024-01-20 16:00:00,Gwalior,2383
2024-01-20 17:00:00,Ghaziabad,3421
2024-01-20 18:00:00,Jaipur,3827
2024-01-20 19:00:00,Ahmedabad,3518
2024-01-20 20:00:00,Kanpur,3528
2024-01-20 21:00:00,Rajkot,3783
2024-01-20 22:00:00,Chennai,4114
2024-01-20 23:00:00,Jodhpur,2171
2024-01-21 00:00:00,Patna,1670
2024-01-21 01:00:00,Visakhapatnam,1322
2024-01-21 02:00:00,Kanpur,1819
2024-01-21 03:00:00,Chennai,1586
2024-01-21 04:00:00,Ghaziabad,1463
2024-01-21 05:00:00,Chandigarh,1627
2024-01-21 06:00:00,Jaipur,1736
2024-01-21 07:00:00,Raipur,1691
2024-01-21 08:00:00,Kanpur,2031
2024-01-21 09:00:00,Aurangabad,3260
2024-01-21 10:00:00,Varanasi,2618
2024-01-21 11:00:00,Kalyan,3326
2024-01-21 12:00:00,Pune,2406
2024-01-21 13:00:00,Ghaziabad,2434
2024-01-21 14:00:00,Chandigarh,2933
2024-01-21 15:00:00,Jabalpur,2571
2024-01-21 16:00:00,Rajkot,2306
2024-01-21 17:00:00,Vadodara,2887
2024-01-21 18:00:00,Nashik,3996
2024-01-21 19:00:00,Chennai,3622
2024-01-21 20:00:00,Dhanbad,3019
2024-01-21 21:00:00,Chennai,4635
2024-01-21 22:00:00,Varanasi,3889
2024-01-21 23:00:00,Solapur,2333
2024-01-22 00:00:00,Nagpur,2020
2024-01-22 01:00:00,Mumbai,1688
2024-01-22 02:00:00,Agra,1830
2024-01-22 03:00:00,Vasai,1628
2024-01-22 04:00:00,Allahabad,2118
2024-01-22 05:00:00,Lucknow,1260
2024-01-22 06:00:00,Ludhiana,2128
2024-01-22 07:00:00,Vijayawada,1808
2024-01-22 08:00:00,Madurai,2245
2024-01-22 09:00:00,Visakhapatnam,2304
2024-01-22 10:00:00,Hubli,2544
2024-01-22 11:00:00,Allahabad,2485
2024-01-22 12:00:00,Solapur,2626
2024-01-22 13:00:00,Rajkot,2650
2024-01-22 14:00:00,Howrah,2946
2024-01-22 15:00:00,Kalyan,2995
2024-01-22 16:00:00,Visakhapatnam,1947
2024-01-22 17:00:00,Dhanbad,2877
2024-01-22 18:00:00,Amritsar,2759
2024-01-22 19:00:00,Indore,2875
2024-01-22 20:00:00,Vadodara,3943
2024-01-22 21:00:00,Madurai,3499
2024-01-22 22:00:00,Ranchi,3682
2024-01-22 23:00:00,Raipur,2347
2024-01-23 00:00:00,Bhopal,1429
2024-01-23 01:00:00,Visakhapatnam,1921
2024-01-23 02:00:00,Solapur,1549
2024-01-23 03:00:00,Patna,2412
2024-01-23 04:00:00,Thane,1665
2024-01-23 05:00:00,Nagpur,2216
2024-01-23 06:00:00,Guwahati,2117
2024-01-23 07:00:00,Nagpur,2547
2024-01-23 08:00:00,Chandigarh,1891
2024-01-23 09:00:00,Jabalpur,2185
2024-01-23 10:00:00,Thane,2911
2024-01-23 11:00:00,Chandigarh,2768
2024-01-23 12:00:00,Srinagar,2358
2024-01-23 13:00:00,Dhanbad,2719
2024-01-23 14:00:00,Meerut,2971
2024-01-23 15:00:00,Vijayawada,2517
2024-01-23 16:00:00,Patna,2094
2024-01-23 17:00:00,Thane,2990
2024-01-23 18:00:00,Vijayawada,2656
2024-01-23 19:00:00,Ahmedabad,3812
2024-01-23 20:00:00,Jabalpur,4042
2024-01-23 21:00:00,Agra,3672
2024-01-23 22:00:00,Lucknow,3038
2024-01-23 23:00:00,Vadodara,1843
2024-01-24 00:00:00,Hubli,1868
2024-01-24 01:00:00,Thane,2280
2024-01-24 02:00:00,Pune,1644
2024-01-24 03:00:00,Amritsar,1715
2024-01-24 04:00:00,Gwalior,1638
2024-01-24 05:00:00,Hyderabad,2050
2024-01-24 06:00:00,Thane,1937
2024-01-24 07:00:00,Meerut,2026
2024-01-24 08:00:00,Amritsar,2203
2024-01-24 09:00:00,Hyderabad,2609
2024-01-24 10:00:00,Jodhpur,1986
2024-01-24 11:00:00,Chennai,2312
2024-01-24 12:00:00,Kalyan,2913
2024-01-24 13:00:00,Vadodara,2508
2024-01-24 14:00:00,Ludhiana,2098
2024-01-24 15:00:00,Gwalior,2909
2024-01-24 16:00:00,Kolkata,2383
2024-01-24 17:00:00,Howrah,2954
2024-01-24 18:00:00,Howrah,4565
2024-01-24 19:00:00,Kolkata,3006
2024-01-24 20:00:00,Amritsar,4346
2024-01-24 21:00:00,Kalyan,4509
2024-01-24 22:00:00,Solapur,3855
2024-01-24 23:00:00,Ranchi,2390
2024-01-25 00:00:00,Jodhpur,2346
2024-01-25 01:00:00,Delhi,2209
2024-01-25 02:00:00,Ranchi,1496
2024-01-25 03:00:00,Pune,1480
2024-01-25 04:00:00,Guwahati,1912
2024-01-25 05:00:00,Aurangabad,1835
2024-01-25 06:00:00,Nashik,1947
2024-01-25 07:00:00,Patna,1600
2024-01-25 08:00:00,Lucknow,2013
2024-01-25 09:00:00,Vadodara,2927
2024-01-25 10:00:00,Jodhpur,2092
2024-01-25 11:00:00,Bhopal,2891
2024-01-25 12:00:00,Delhi,2459
2024-01-25 13:00:00,Jaipur,2866
2024-01-25 14:00:00,Madurai,2480
2024-01-25 15:00:00,Meerut,1951
2024-01-25 16:00:00,Navi Mumbai,3010
2024-01-25 17:00:00,Chennai,3211
2024-01-25 18:00:00,Mumbai,3787
2024-01-25 19:00:00,Indore,2959
2024-01-25 20:00:00,Faridabad,3259
2024-01-25 21:00:00,Coimbatore,3719
2024-01-25 22:00:00,Dhanbad,4001
2024-01-25 23:00:00,Patna,1470
2024-01-26 00:00:00,Visakhapatnam,1422
2024-01-26 01:00:00,Hyderabad,1627
2024-01-26 02:00:00,Bangalore,1596
2024-01-26 03:00:00,Srinagar,1764
2024-01-26 04:00:00,Vadodara,1437
2024-01-26 05:00:00,Patna,1874
2024-01-26 06:00:00,Chandigarh,2212
2024-01-26 07:00:00,Lucknow,1735
2024-01-26 08:00:00,Pune,1702
2024-01-26 09:00:00,Ahmedabad,2643
2024-01-26 10:00:00,Coimbatore,2726
2024-01-26 11:00:00,Faridabad,2744
2024-01-26 12:00:00,Srinagar,2400
2024-01-26 13:00:00,Kanpur,2657
2024-01-26 14:00:00,Varanasi,2163
2024-01-26 15:00:00,Ranchi,2686
2024-01-26 16:00:00,Ranchi,2230
2024-01-26 17:00:00,Visakhapatnam,2700
2024-01-26 18:00:00,Varanasi,3245
2024-01-26 19:00:00,Jaipur,3499
2024-01-26 20:00:00,Jodhpur,2994
2024-01-26 21:00:00,Jodhpur,2910
2024-01-26 22:00:00,Madurai,3772
2024-01-26 23:00:00,Guwahati,1724
2024-01-27 00:00:00,Agra,1226
2024-01-27 01:00:00,Jabalpur,1925
2024-01-27 02:00:00,Mumbai,1749
2024-01-27 03:00:00,Jodhpur,1962
2024-01-27 04:00:00,Lucknow,1973
2024-01-27 05:00:00,Jabalpur,1884
2024-01-27 06:00:00,Allahabad,2080
2024-01-27 07:00:00,Vadodara,1767
2024-01-27 08:00:00,Vijayawada,2063
2024-01-27 09:00:00,Solapur,2576
2024-01-27 10:00:00,Vasai,2635
2024-01-27 11:00:00,Allahabad,2282
2024-01-27 12:00:00,Lucknow,2845
2024-01-27 13:00:00,Rajkot,2764
