Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
SILVASSA,Industrial Circle,Metro,Main Bazaar,Plaza Street-727,2,COMMERCIAL,1459,1333,1376600.39,1994.089
DAMAN,Nani Daman,Zone-A,East Section,Plaza Street-759,2,COMMERCIAL,860,856,1253441.03,2678.512
VISAKHAPATNAM,Steel Plant,Industrial,Station Road,High Street-846,2,COMMERCIAL,605,531,663224.06,886.159
ITANAGAR,Naharlagun,Metro,West Section,Complex Road-718,2,COMMERCIAL,194,177,39025.09,776.285
DIBRUGARH,Central,S2,East Section,Old Town-556,2,COMMERCIAL,310,303,105598.14,1271.443
MUZAFFARPUR,Rural,S2,North Section,Market Area-297,2,COMMERCIAL,1245,1238,1659937.0,2171.518
RAIPUR,Rural Circle,S2,Commercial Hub,Business Park-518,2,COMMERCIAL,1025,940,1232090.41,5060.998
PANAJI,Division II,E3,Main Bazaar,Old Town-422,2,COMMERCIAL,746,705,1020126.33,2113.365
AHMEDABAD,Navrangpura,Town,Main Bazaar,Complex Road-730,2,COMMERCIAL,830,724,959381.7,3165.944
GURUGRAM,City,N1,Commercial Hub,Complex Road-881,2,COMMERCIAL,113,103,88439.32,537.907
DHARAMSHALA,Kangra,Industrial,Main Bazaar,Complex Road-120,2,COMMERCIAL,1234,1138,440875.09,5678.093
RANCHI,New Capital,N1,East Section,Market Area-752,2,COMMERCIAL,570,516,222678.26,1211.261
MYSURU,City,W4,Commercial Hub,Plaza Street-381,2,COMMERCIAL,957,843,1329508.7,2333.194
KOCHI,Ernakulam,Zone-A,North Section,New Extension-927,2,COMMERCIAL,217,190,118033.54,456.791
INDORE,Vijay Nagar,S2,East Section,Complex Road-865,2,COMMERCIAL,506,439,739594.67,1028.521
PUNE,Shivajinagar,Zone-A,North Section,Plaza Street-562,2,COMMERCIAL,708,654,943454.45,960.374
IMPHAL,Division I,N1,North Section,High Street-774,2,COMMERCIAL,1486,1364,1178400.68,6748.901
SHILLONG,East Khasi,S2,Commercial Hub,Old Town-502,2,COMMERCIAL,857,845,728095.26,3389.458
AIZAWL,Division I,Town,West Section,Old Town-794,2,COMMERCIAL,1025,890,881009.08,4686.608
KOHIMA,Town Division,Zone-B,West Section,Old Town-901,2,COMMERCIAL,549,510,680484.25,2330.639
CUTTACK,CRD,E3,West Section,Business Park-253,2,COMMERCIAL,385,362,112743.85,1149.414
AMRITSAR,Hall Gate,Zone-B,Main Bazaar,Business Park-118,2,COMMERCIAL,639,599,267880.79,3293.535
JODHPUR,Sardarpura,Zone-B,West Section,Complex Road-590,2,COMMERCIAL,1238,1234,1113996.82,5463.562
GANGTOK,Division I,Central,Station Road,New Extension-567,2,COMMERCIAL,113,97,70388.75,452.597
COIMBATORE,Peelamedu,Rural,Commercial Hub,Plaza Street-684,2,COMMERCIAL,1027,970,1100807.6,2058.079
WARANGAL,Station Road,Zone-A,West Section,Plaza Street-415,2,COMMERCIAL,968,956,466550.55,4829.635
AGARTALA,Division I,N1,West Section,Market Area-589,2,COMMERCIAL,240,232,192866.94,850.326
KANPUR,Civil Lines,W4,Commercial Hub,Complex Road-437,2,COMMERCIAL,1264,1199,836588.3,4598.143
DEHRADUN,North,W4,North Section,Complex Road-229,2,COMMERCIAL,251,215,158234.61,396.609
KOLKATA,Behala,Metro,East Section,Business Park-181,2,COMMERCIAL,309,274,98879.62,1427.777
SOUTH DELHI,Saket,Central,South Section,New Extension-324,2,COMMERCIAL,1002,873,639416.65,4847.964
SRINAGAR,Division II,S2,Station Road,New Extension-465,2,COMMERCIAL,933,900,1172303.67,2747.49
LEH,Town Division,Industrial,Commercial Hub,Business Park-125,2,COMMERCIAL,1344,1310,1668273.66,6786.132
CHANDIGARH,Sector 17,Zone-A,Station Road,New Extension-257,2,COMMERCIAL,1449,1284,2030407.92,3150.354
PUDUCHERRY,Rural,S2,Main Bazaar,New Extension-429,2,COMMERCIAL,258,238,258366.72,1390.223
PORT BLAIR,City Circle,Town,South Section,High Street-799,2,COMMERCIAL,682,606,167983.08,908.669
SILVASSA,Industrial Circle,W4,South Section,New Extension-195,2,COMMERCIAL,1321,1192,591722.02,3757.852
DAMAN,Moti Daman,Zone-A,East Section,Complex Road-451,2,COMMERCIAL,1460,1245,1663028.76,4578.176
TIRUPATI,KT Road,E3,East Section,Complex Road-568,2,COMMERCIAL,639,615,562742.11,2944.394
PASIGHAT,East Siang,Central,Station Road,Plaza Street-112,2,COMMERCIAL,202,187,92279.27,272.631
DIBRUGARH,Rural,Central,Main Bazaar,Old Town-148,2,COMMERCIAL,1340,1152,1877134.63,6845.149
MUZAFFARPUR,Rural,W4,North Section,High Street-879,2,COMMERCIAL,801,724,1144553.44,3714.313
BILASPUR,Tifra,Zone-A,Station Road,Plaza Street-741,2,COMMERCIAL,706,623,620333.07,2303.621
MARGAO,Division IV,Rural,East Section,Plaza Street-342,2,COMMERCIAL,470,427,406294.65,1657.519
AHMEDABAD,Maninagar,Zone-A,East Section,Market Area-297,2,COMMERCIAL,1333,1253,1730522.71,2878.576
FARIDABAD,Old Faridabad,Rural,East Section,Business Park-439,2,COMMERCIAL,453,441,441232.65,1251.429
SHIMLA,City,Town,North Section,High Street-237,2,COMMERCIAL,538,459,434228.03,2599.33
JAMSHEDPUR,Jamshedpur Circle,Rural,Commercial Hub,Old Town-650,2,COMMERCIAL,448,421,517658.68,1072.855
HUBBALLI,Rural,Rural,Station Road,Complex Road-308,2,COMMERCIAL,167,156,183737.64,497.228
TRIVANDRUM,Pattom,Industrial,West Section,New Extension-275,2,COMMERCIAL,643,576,144722.62,890.017
INDORE,MG Road,Central,Station Road,Complex Road-119,2,COMMERCIAL,1398,1348,631684.06,2072.266
PUNE,Shivajinagar,N1,Commercial Hub,Old Town-846,2,COMMERCIAL,125,110,33876.21,283.691
IMPHAL,Division II,Rural,South Section,Market Area-840,2,COMMERCIAL,1139,1081,1112166.54,2809.563
SHILLONG,West Khasi,Zone-B,Commercial Hub,Complex Road-312,2,COMMERCIAL,1085,1065,871554.18,2286.871
AIZAWL,Division I,E3,Commercial Hub,Plaza Street-749,2,COMMERCIAL,496,454,454809.17,2195.662
KOHIMA,Rural,Zone-A,Commercial Hub,Complex Road-414,2,COMMERCIAL,646,568,806860.68,1392.903
CUTTACK,CDD,Rural,East Section,Business Park-821,2,COMMERCIAL,794,789,206618.07,2246.349
LUDHIANA,Model Town,E3,South Section,Business Park-865,2,COMMERCIAL,852,729,189537.28,1761.405
JODHPUR,Sardarpura,Central,North Section,Business Park-260,2,COMMERCIAL,864,749,1186693.55,1732.327
GANGTOK,Division I,Industrial,Main Bazaar,Market Area-328,2,COMMERCIAL,1070,956,1212755.65,5847.739
COIMBATORE,RS Puram,Zone-B,Station Road,Business Park-756,2,COMMERCIAL,1218,1168,1634277.78,5167.691
HYDERABAD,Secunderabad,Town,North Section,New Extension-829,2,COMMERCIAL,613,579,837348.66,1493.692
AGARTALA,Division I,W4,South Section,New Extension-481,2,COMMERCIAL,618,548,271283.01,2742.468
KANPUR,Civil Lines,Rural,East Section,High Street-550,2,COMMERCIAL,1413,1252,1340255.38,2059.857
DEHRADUN,Central,Rural,Station Road,Complex Road-583,2,COMMERCIAL,757,681,465416.26,3060.707
KOLKATA,Behala,N1,East Section,Old Town-827,2,COMMERCIAL,687,636,829237.99,2499.627
CENTRAL DELHI,Paharganj,Town,North Section,Old Town-920,2,COMMERCIAL,1208,1080,1158199.26,5930.309
JAMMU,Gandhi Nagar,E3,Commercial Hub,Plaza Street-818,2,COMMERCIAL,732,676,1064385.12,3956.24
LEH,Town Division,Town,Station Road,Market Area-136,2,COMMERCIAL,633,612,429106.5,2595.354
CHANDIGARH,Sector 17,Rural,South Section,Business Park-461,2,COMMERCIAL,1034,1019,1271340.08,3448.686
PUDUCHERRY,Rural,W4,Commercial Hub,Old Town-552,2,COMMERCIAL,438,419,335824.49,1711.275
PORT BLAIR,City Circle,Town,Station Road,New Extension-474,2,COMMERCIAL,407,384,559667.83,2211.422
SILVASSA,Industrial Circle,Zone-A,Commercial Hub,Complex Road-710,2,COMMERCIAL,1173,1040,901531.99,3689.637
DAMAN,Moti Daman,Town,Station Road,High Street-887,2,COMMERCIAL,725,684,414904.38,1507.209
VISAKHAPATNAM,Steel Plant,Industrial,Main Bazaar,Complex Road-125,2,COMMERCIAL,1339,1192,1308252.14,5111.0
ITANAGAR,Capital Division,E3,East Section,Market Area-582,2,COMMERCIAL,821,791,738902.52,2043.477
GUWAHATI,Paltan Bazar,W4,Commercial Hub,Business Park-163,2,COMMERCIAL,420,404,503266.09,2025.178
MUZAFFARPUR,Town Division,Central,Commercial Hub,High Street-847,2,COMMERCIAL,1044,913,905090.35,2704.762
BILASPUR,City,W4,West Section,Plaza Street-356,2,COMMERCIAL,1439,1319,554675.74,5367.018
PANAJI,Division II,Zone-B,Commercial Hub,Business Park-230,2,COMMERCIAL,21,18,30767.11,52.804
AHMEDABAD,Maninagar,W4,South Section,Business Park-238,2,COMMERCIAL,1018,1007,714595.8,2595.027
GURUGRAM,City,E3,Main Bazaar,Old Town-429,2,COMMERCIAL,177,160,96072.8,332.971
SHIMLA,City,Rural,Main Bazaar,Market Area-386,2,COMMERCIAL,940,803,1387411.46,1853.445
RANCHI,New Capital,W4,Commercial Hub,New Extension-235,2,COMMERCIAL,1113,1045,411134.5,4330.639
BENGALURU,Malleswaram,S2,Main Bazaar,Market Area-137,2,COMMERCIAL,58,51,56531.9,211.962
KOCHI,Marine Drive,Central,Main Bazaar,Old Town-474,2,COMMERCIAL,940,844,531585.94,2639.672
INDORE,MG Road,Rural,West Section,Business Park-154,2,COMMERCIAL,600,518,326641.21,910.563
NAGPUR,Gandhibagh,Rural,East Section,Market Area-632,2,COMMERCIAL,382,363,197625.58,1025.05
IMPHAL,Division I,N1,North Section,High Street-952,2,COMMERCIAL,1167,1067,1294451.43,1426.83
SHILLONG,East Khasi,N1,South Section,High Street-344,2,COMMERCIAL,77,66,114819.05,174.668
AIZAWL,Division I,Zone-B,West Section,Old Town-458,2,COMMERCIAL,409,373,495470.5,1268.79
KOHIMA,Town Division,Zone-B,Commercial Hub,Market Area-469,2,COMMERCIAL,1389,1234,770637.72,5004.857
BHUBANESWAR,BED,E3,South Section,New Extension-530,2,COMMERCIAL,900,785,691974.88,3642.208
LUDHIANA,City,Rural,Station Road,Market Area-347,2,COMMERCIAL,926,921,896331.5,2415.092
JAIPUR,Malviya Nagar,Town,North Section,Old Town-497,2,COMMERCIAL,1292,1173,863725.66,1614.779
GANGTOK,Division II,Zone-B,North Section,New Extension-357,2,COMMERCIAL,705,695,467149.89,2796.767
CHENNAI,T Nagar,E3,Commercial Hub,Business Park-259,2,COMMERCIAL,1464,1380,576358.29,6710.399
WARANGAL,Rural,Central,Station Road,Market Area-276,2,COMMERCIAL,757,754,595845.43,1332.498
AGARTALA,Division I,Rural,West Section,Complex Road-105,2,COMMERCIAL,1410,1224,762594.31,3053.391
NOIDA,Sector 18,Central,Main Bazaar,Old Town-120,2,COMMERCIAL,549,510,179650.52,1042.034
HALDWANI,Town,Zone-A,South Section,Plaza Street-898,2,COMMERCIAL,862,747,693540.18,3845.796
KOLKATA,Behala,Rural,Commercial Hub,Complex Road-665,2,COMMERCIAL,155,138,178127.17,814.597
CENTRAL DELHI,Paharganj,Zone-A,North Section,New Extension-519,2,COMMERCIAL,380,335,268752.37,555.931
JAMMU,Canal Division,Central,North Section,Old Town-626,2,COMMERCIAL,535,455,749831.79,1624.949
LEH,Town Division,S2,West Section,Complex Road-403,2,COMMERCIAL,101,100,90914.28,505.96
CHANDIGARH,Sector 35,E3,East Section,Business Park-863,2,COMMERCIAL,555,549,272169.66,1164.565
PUDUCHERRY,Rural,S2,South Section,Business Park-193,2,COMMERCIAL,958,860,866780.11,2587.184
PORT BLAIR,City Circle,Zone-A,South Section,Complex Road-871,2,COMMERCIAL,526,466,662895.04,1933.819
SILVASSA,Industrial Circle,Town,North Section,Complex Road-279,2,COMMERCIAL,236,204,99602.88,596.972
DAMAN,Moti Daman,Zone-A,North Section,New Extension-522,2,COMMERCIAL,817,710,623833.27,1078.404
TIRUPATI,KT Road,Metro,East Section,Market Area-682,2,COMMERCIAL,1163,1107,1405686.45,4078.725
PASIGHAT,East Siang,Metro,Commercial Hub,New Extension-621,2,COMMERCIAL,1207,1137,529775.55,4119.206
GUWAHATI,Dispur,Metro,North Section,Plaza Street-504,2,COMMERCIAL,539,474,337621.88,1172.502
PATNA,PESU West,Industrial,North Section,Old Town-613,2,COMMERCIAL,556,496,558219.39,849.979
RAIPUR,City Circle,S2,East Section,Market Area-703,2,COMMERCIAL,1153,1019,284839.97,6171.172
MARGAO,Division III,Industrial,Commercial Hub,High Street-546,2,COMMERCIAL,537,474,598866.61,1244.754
SURAT,Adajan,Industrial,East Section,New Extension-680,2,COMMERCIAL,1266,1095,492661.29,4545.838
FARIDABAD,Greater Faridabad,N1,South Section,New Extension-780,2,COMMERCIAL,840,815,799474.37,1656.759
DHARAMSHALA,Kangra,Zone-B,North Section,Complex Road-758,2,COMMERCIAL,746,701,524205.14,3754.315
JAMSHEDPUR,Adityapur,W4,West Section,Old Town-241,2,COMMERCIAL,699,608,1035711.03,2824.827
BENGALURU,Jayanagar,Zone-A,Commercial Hub,High Street-718,2,COMMERCIAL,435,397,171389.44,1203.194
KOCHI,Ernakulam,Metro,North Section,Business Park-699,2,COMMERCIAL,1301,1171,1752770.98,1896.393
INDORE,Vijay Nagar,Metro,West Section,Business Park-256,2,COMMERCIAL,1097,977,1435398.38,5050.546
PUNE,Shivajinagar,Industrial,West Section,Market Area-418,2,COMMERCIAL,1288,1145,1173459.2,2692.207
IMPHAL,Division I,Town,Main Bazaar,Complex Road-669,2,COMMERCIAL,660,572,578651.66,1879.237
SHILLONG,West Khasi,W4,East Section,Business Park-875,2,COMMERCIAL,383,372,185797.76,1277.549
AIZAWL,Division II,E3,South Section,Complex Road-481,2,COMMERCIAL,614,557,394364.59,2625.218
KOHIMA,Rural,Central,Main Bazaar,New Extension-846,2,COMMERCIAL,1462,1427,353217.92,7674.6
CUTTACK,CRD,Zone-B,South Section,Market Area-150,2,COMMERCIAL,777,678,176062.87,3518.31
AMRITSAR,Cantt,Town,Main Bazaar,Market Area-534,2,COMMERCIAL,247,212,319809.49,780.527
JAIPUR,Malviya Nagar,S2,Commercial Hub,Complex Road-779,2,COMMERCIAL,837,781,389197.93,1826.522
GANGTOK,Division I,Industrial,Main Bazaar,Business Park-913,2,COMMERCIAL,99,96,139684.51,362.803
COIMBATORE,RS Puram,Central,North Section,Old Town-284,2,COMMERCIAL,881,820,1030945.91,2302.061
WARANGAL,Station Road,Rural,West Section,Plaza Street-152,2,COMMERCIAL,740,732,380844.93,943.087
AGARTALA,Division I,W4,West Section,Market Area-727,2,COMMERCIAL,89,80,21840.04,247.575
NOIDA,Sector 62,Metro,East Section,High Street-436,2,COMMERCIAL,504,445,715724.98,1949.982
HALDWANI,Kathgodam,N1,West Section,Market Area-251,2,COMMERCIAL,1140,1113,1490615.71,2220.957
SILIGURI,Sevoke Road,Rural,South Section,Plaza Street-197,2,COMMERCIAL,1046,890,1288298.04,4816.306
CENTRAL DELHI,Connaught Place,Industrial,Commercial Hub,Complex Road-336,2,COMMERCIAL,583,553,590282.56,2616.268
JAMMU,Canal Division,Rural,Commercial Hub,Business Park-693,2,COMMERCIAL,437,428,257603.94,691.391
LEH,Town Division,Zone-B,North Section,Business Park-472,2,COMMERCIAL,1268,1185,401275.52,5858.054
CHANDIGARH,Sector 17,Town,East Section,Complex Road-169,2,COMMERCIAL,1156,1056,961669.52,2366.396
PUDUCHERRY,Rural,S2,South Section,Complex Road-494,2,COMMERCIAL,1210,1169,899551.74,5299.415
PORT BLAIR,City Circle,S2,Station Road,Business Park-519,2,COMMERCIAL,54,47,45367.12,88.712
SILVASSA,Industrial Circle,Central,Main Bazaar,Complex Road-522,2,COMMERCIAL,966,857,789714.07,1655.306
DAMAN,Nani Daman,W4,Commercial Hub,High Street-789,2,COMMERCIAL,217,197,322944.62,282.504
TIRUPATI,Balaji Colony,Zone-B,Main Bazaar,New Extension-195,2,COMMERCIAL,1488,1480,2131519.75,7343.089
PASIGHAT,Mebo,Metro,Main Bazaar,Complex Road-501,2,COMMERCIAL,141,129,202885.5,475.426
DIBRUGARH,Rural,S2,East Section,Complex Road-679,2,COMMERCIAL,1459,1449,1299136.4,2488.58
MUZAFFARPUR,Town Division,N1,West Section,High Street-712,2,COMMERCIAL,1169,1148,663396.13,5181.57
BILASPUR,City,N1,East Section,Complex Road-903,2,COMMERCIAL,686,671,525182.13,3543.038
MARGAO,Division IV,W4,Station Road,Business Park-385,2,COMMERCIAL,128,114,130639.88,179.132
VADODARA,Akota,W4,East Section,Plaza Street-369,2,COMMERCIAL,799,779,783443.9,2673.211
FARIDABAD,Greater Faridabad,Zone-B,Commercial Hub,Plaza Street-171,2,COMMERCIAL,558,481,463571.87,1744.081
DHARAMSHALA,Town,W4,Station Road,New Extension-769,2,COMMERCIAL,981,879,642999.03,3169.852
RANCHI,New Capital,Town,West Section,Market Area-808,2,COMMERCIAL,346,315,239641.08,1444.807
HUBBALLI,Central,W4,Main Bazaar,Business Park-504,2,COMMERCIAL,1469,1445,366118.67,1885.147
KOCHI,Ernakulam,E3,East Section,Plaza Street-712,2,COMMERCIAL,452,413,577973.47,2054.64
INDORE,MG Road,N1,West Section,Complex Road-590,2,COMMERCIAL,394,379,98572.45,1329.188
PUNE,Shivajinagar,Town,Commercial Hub,Complex Road-217,2,COMMERCIAL,900,799,298815.26,1450.519
IMPHAL,Division II,Industrial,South Section,Old Town-833,2,COMMERCIAL,121,108,162672.69,174.96
SHILLONG,East Khasi,N1,Commercial Hub,Plaza Street-560,2,COMMERCIAL,830,785,313719.0,2875.51
AIZAWL,Division II,Industrial,North Section,Old Town-151,2,COMMERCIAL,492,441,610178.99,2640.531
KOHIMA,Rural,Metro,East Section,Old Town-661,2,COMMERCIAL,220,213,288690.64,759.123
CUTTACK,CRD,S2,West Section,High Street-814,2,COMMERCIAL,416,360,96653.35,945.163
LUDHIANA,Model Town,Rural,Station Road,Complex Road-765,2,COMMERCIAL,1111,1075,763797.05,2904.572
JAIPUR,Vaishali,W4,South Section,High Street-102,2,COMMERCIAL,849,741,587405.43,2585.14
GANGTOK,Division II,Central,East Section,Plaza Street-744,2,COMMERCIAL,250,219,129754.12,1343.7
CHENNAI,Anna Nagar,Zone-B,Commercial Hub,Market Area-842,2,COMMERCIAL,1479,1348,1217619.91,2723.147
HYDERABAD,Banjara Hills,Rural,Main Bazaar,Old Town-566,2,COMMERCIAL,579,518,378248.1,3160.968
AGARTALA,Division II,S2,South Section,Market Area-280,2,COMMERCIAL,967,917,513442.08,1893.427
LUCKNOW,Aliganj,S2,South Section,Market Area-608,2,COMMERCIAL,509,494,210457.12,1054.044
DEHRADUN,North,Town,West Section,High Street-224,2,COMMERCIAL,1303,1272,1031833.72,3012.482
SILIGURI,Town,S2,South Section,Plaza Street-590,2,COMMERCIAL,1486,1454,567282.04,6657.458
SOUTH DELHI,Hauz Khas,S2,East Section,High Street-739,2,COMMERCIAL,1331,1195,351579.99,3503.647
SRINAGAR,Division II,N1,East Section,Complex Road-284,2,COMMERCIAL,1373,1313,1069840.58,4765.184
LEH,Town Division,Zone-A,Commercial Hub,New Extension-383,2,COMMERCIAL,833,726,393315.18,2759.943
CHANDIGARH,Sector 17,N1,Main Bazaar,High Street-161,2,COMMERCIAL,791,781,1030611.63,1077.359
PUDUCHERRY,Town Division,Metro,West Section,Business Park-705,2,COMMERCIAL,941,844,393911.18,2388.149
PORT BLAIR,City Circle,Zone-A,West Section,Plaza Street-614,2,COMMERCIAL,1351,1151,526826.25,4645.6
SILVASSA,Industrial Circle,Metro,West Section,High Street-932,2,COMMERCIAL,584,582,514901.32,1060.956
DAMAN,Nani Daman,Metro,Station Road,Plaza Street-927,2,COMMERCIAL,1160,1130,1140887.92,3539.408
VISAKHAPATNAM,Steel Plant,Industrial,North Section,Old Town-645,2,COMMERCIAL,264,257,100522.34,1371.722
PASIGHAT,East Siang,N1,West Section,Complex Road-388,2,COMMERCIAL,1060,948,1553107.01,2332.229
GUWAHATI,Dispur,N1,North Section,Plaza Street-486,2,COMMERCIAL,1410,1409,639276.5,5686.459
MUZAFFARPUR,Town Division,N1,East Section,New Extension-701,2,COMMERCIAL,919,915,308104.48,2042.703
BILASPUR,Tifra,S2,East Section,Business Park-953,2,COMMERCIAL,634,562,751877.51,2821.172
MARGAO,Division III,Rural,Station Road,Complex Road-529,2,COMMERCIAL,789,732,306679.6,4182.07
VADODARA,Akota,W4,Station Road,Plaza Street-793,2,COMMERCIAL,497,496,460653.81,2365.146
GURUGRAM,City,S2,Station Road,Complex Road-905,2,COMMERCIAL,915,871,1148746.9,4530.555
SHIMLA,Kasumpti,S2,Station Road,New Extension-303,2,COMMERCIAL,1145,1022,850105.16,4880.863
JAMSHEDPUR,Jamshedpur Circle,Central,South Section,High Street-225,2,COMMERCIAL,1160,1054,912990.13,2621.621
MYSURU,Rural,Zone-A,West Section,Plaza Street-559,2,COMMERCIAL,189,170,43672.6,357.528
KOCHI,Ernakulam,Zone-B,South Section,Complex Road-567,2,COMMERCIAL,1073,970,472312.18,4103.861
INDORE,MG Road,Zone-A,West Section,Plaza Street-418,2,COMMERCIAL,1441,1247,2029779.58,3379.777
MUMBAI,Bandra,N1,Station Road,Complex Road-920,2,COMMERCIAL,611,564,428001.5,2131.731
IMPHAL,Division I,E3,West Section,Complex Road-974,2,COMMERCIAL,974,948,1402086.16,4787.599
SHILLONG,East Khasi,E3,West Section,Plaza Street-332,2,COMMERCIAL,452,390,367751.86,1388.117
AIZAWL,Division I,N1,Commercial Hub,Plaza Street-469,2,COMMERCIAL,944,864,225419.3,4422.343
KOHIMA,Rural,W4,North Section,High Street-710,2,COMMERCIAL,20,19,29884.79,31.323
CUTTACK,CRD,S2,Main Bazaar,Complex Road-846,2,COMMERCIAL,516,473,494021.13,1014.954
LUDHIANA,City,S2,Main Bazaar,Market Area-888,2,COMMERCIAL,226,220,60649.28,504.15
JODHPUR,Sardarpura,S2,East Section,Business Park-328,2,COMMERCIAL,815,755,1132023.85,2677.393
GANGTOK,Division II,Town,South Section,Plaza Street-479,2,COMMERCIAL,713,658,483715.17,1068.529
COIMBATORE,RS Puram,S2,West Section,Complex Road-874,2,COMMERCIAL,911,852,697492.24,4177.951
HYDERABAD,Secunderabad,S2,Commercial Hub,Market Area-601,2,COMMERCIAL,921,809,1184038.5,4282.342
AGARTALA,Division II,N1,North Section,Market Area-579,2,COMMERCIAL,359,334,281537.74,1792.83
KANPUR,Civil Lines,Zone-B,West Section,Market Area-142,2,COMMERCIAL,1221,1166,1739579.67,2562.125
HALDWANI,Town,Rural,North Section,Complex Road-324,2,COMMERCIAL,10,8,2630.54,23.622
KOLKATA,Gariahat,Zone-A,East Section,Plaza Street-119,2,COMMERCIAL,872,759,1032366.22,2628.468
CENTRAL DELHI,Paharganj,Zone-B,Main Bazaar,New Extension-314,2,COMMERCIAL,999,895,480308.69,3726.508
JAMMU,Canal Division,Metro,Commercial Hub,New Extension-676,2,COMMERCIAL,648,608,345042.93,3080.506
LEH,Town Division,Zone-B,North Section,Plaza Street-203,2,COMMERCIAL,812,712,165683.55,2945.363
CHANDIGARH,Sector 17,Town,Commercial Hub,Complex Road-836,2,COMMERCIAL,452,432,668497.46,1684.605
PUDUCHERRY,Rural,Industrial,North Section,Old Town-685,2,COMMERCIAL,1226,1051,1120080.85,1629.625
PORT BLAIR,City Circle,Zone-A,East Section,Old Town-783,2,COMMERCIAL,704,688,434192.19,3642.585
SILVASSA,Industrial Circle,N1,Main Bazaar,Old Town-641,2,COMMERCIAL,1414,1356,1398796.75,2698.95
DAMAN,Nani Daman,Central,Commercial Hub,Old Town-619,2,COMMERCIAL,1145,1065,747218.86,3813.622
