hour,day_of_week,month,demand_mw,region
2,6,10,142700.41,National
2,6,11,122970.32,National
2,6,12,122054.22,National
3,0,1,121208.43,National
3,0,2,130499.17,National
3,0,3,140417.1,National
3,0,4,152169.73,National
3,0,5,152701.86,National
3,0,6,155630.48,National
3,0,7,153613.89,National
3,0,8,153250.03,National
3,0,9,150205.64,National
3,0,10,136444.03,National
3,0,11,117592.53,National
3,0,12,116270.02,National
3,1,1,124660.04,National
3,1,2,135434.48,National
3,1,3,143888.43,National
3,1,4,155563.31,National
3,1,5,155730.73,National
3,1,6,159658.42,National
3,1,7,157506.53,National
3,1,8,160207.91,National
3,1,9,155251.94,National
3,1,10,137201.1,National
3,1,11,122640.09,National
3,1,12,120529.83,National
3,2,1,124793.74,National
3,2,2,135598.81,National
3,2,3,147681.15,National
3,2,4,151350.7,National
3,2,5,155863.76,National
3,2,6,163675.65,National
3,2,7,156408.55,National
3,2,8,161270.08,National
3,2,9,154689.93,National
3,2,10,137509.81,National
3,2,11,125689.79,National
3,2,12,121314.24,National
3,3,1,124119.37,National
3,3,2,136385.05,National
3,3,3,148281.46,National
3,3,4,152258.11,National
3,3,5,152841.09,National
3,3,6,162859.46,National
3,3,7,156608.58,National
3,3,8,160244.87,National
3,3,9,155866.24,National
3,3,10,138270.71,National
3,3,11,124201.61,National
3,3,12,122070.9,National
3,4,1,124573.97,National
3,4,2,135451.8,National
3,4,3,147143.9,National
3,4,4,153943.36,National
3,4,5,152548.15,National
3,4,6,161580.84,National
3,4,7,157054.1,National
3,4,8,157677.41,National
3,4,9,157361.45,National
3,4,10,140160.06,National
3,4,11,122782.44,National
3,4,12,122694.58,National
3,5,1,124762.0,National
3,5,2,135105.03,National
3,5,3,146153.53,National
3,5,4,154967.2,National
3,5,5,153895.27,National
3,5,6,162671.7,National
3,5,7,157209.37,National
3,5,8,158267.9,National
3,5,9,156979.99,National
3,5,10,140206.35,National
3,5,11,122852.42,National
3,5,12,122571.34,National
3,6,1,124545.9,National
3,6,2,135611.06,National
3,6,3,145522.44,National
3,6,4,154013.57,National
3,6,5,155812.31,National
3,6,6,161240.42,National
3,6,7,156838.74,National
3,6,8,157423.98,National
3,6,9,154180.74,National
3,6,10,140767.0,National
3,6,11,122006.37,National
3,6,12,121367.15,National
4,0,1,123896.88,National
4,0,2,132844.44,National
4,0,3,141799.78,National
4,0,4,152575.94,National
4,0,5,151418.05,National
4,0,6,154581.17,National
4,0,7,152798.12,National
4,0,8,152813.43,National
4,0,9,149543.01,National
4,0,10,137070.79,National
4,0,11,119850.29,National
4,0,12,118921.13,National
4,1,1,127134.92,National
4,1,2,137296.5,National
4,1,3,145149.55,National
4,1,4,155517.71,National
4,1,5,154246.48,National
4,1,6,158444.63,National
4,1,7,156354.89,National
4,1,8,159576.93,National
4,1,9,154544.78,National
4,1,10,137629.98,National
4,1,11,124703.45,National
4,1,12,122999.32,National
4,2,1,127063.26,National
4,2,2,137650.44,National
4,2,3,148803.41,National
4,2,4,151463.35,National
4,2,5,154309.8,National
4,2,6,162475.13,National
4,2,7,155329.72,National
4,2,8,160410.67,National
4,2,9,154076.31,National
4,2,10,137926.86,National
4,2,11,127609.43,National
4,2,12,123827.45,National
4,3,1,126440.42,National
4,3,2,138285.25,National
4,3,3,149370.99,National
4,3,4,152259.93,National
4,3,5,151363.74,National
4,3,6,161476.42,National
4,3,7,155562.37,National
4,3,8,159431.87,National
4,3,9,155273.11,National
4,3,10,138535.77,National
4,3,11,126242.83,National
4,3,12,124768.54,National
4,4,1,127078.2,National
4,4,2,137466.77,National
4,4,3,148320.32,National
4,4,4,154016.55,National
4,4,5,151161.73,National
4,4,6,160210.11,National
4,4,7,155954.03,National
4,4,8,157111.08,National
4,4,9,156931.27,National
4,4,10,140758.46,National
4,4,11,124947.96,National
4,4,12,124710.36,National
4,5,1,127034.4,National
4,5,2,137042.93,National
4,5,3,147070.4,National
4,5,4,155092.87,National
4,5,5,152387.77,National
4,5,6,161242.5,National
4,5,7,156014.06,National
4,5,8,157421.24,National
4,5,9,156497.85,National
4,5,10,140594.1,National
4,5,11,124740.67,National
4,5,12,124988.71,National
4,6,1,126681.06,National
4,6,2,137493.43,National
4,6,3,146321.22,National
4,6,4,154062.46,National
4,6,5,154188.03,National
4,6,6,159424.28,National
4,6,7,155362.12,National
4,6,8,156511.48,National
4,6,9,153497.45,National
4,6,10,140980.38,National
4,6,11,123808.93,National
4,6,12,123630.05,National
5,0,1,133003.82,National
5,0,2,141096.67,National
5,0,3,147596.47,National
5,0,4,155924.29,National
5,0,5,152118.25,National
5,0,6,154690.15,National
5,0,7,153615.88,National
5,0,8,154523.16,National
5,0,9,151622.99,National
5,0,10,141574.2,National
5,0,11,128117.59,National
5,0,12,128298.11,National
5,1,1,135687.24,National
5,1,2,145407.03,National
5,1,3,150758.01,National
5,1,4,158133.28,National
5,1,5,154843.53,National
5,1,6,158611.24,National
5,1,7,157114.78,National
5,1,8,160917.77,National
5,1,9,156188.62,National
5,1,10,142013.37,National
5,1,11,133052.82,National
5,1,12,132297.92,National
5,2,1,135595.48,National
5,2,2,145424.56,National
5,2,3,154193.4,National
5,2,4,154033.58,National
5,2,5,154668.71,National
5,2,6,162309.25,National
5,2,7,156018.89,National
5,2,8,161797.38,National
5,2,9,155668.72,National
5,2,10,142530.24,National
5,2,11,135486.92,National
5,2,12,133282.28,National
5,3,1,135038.78,National
5,3,2,146115.69,National
5,3,3,154639.09,National
5,3,4,154835.88,National
5,3,5,152106.6,National
5,3,6,161250.07,National
5,3,7,156087.13,National
5,3,8,160692.34,National
5,3,9,156808.13,National
5,3,10,143043.36,National
5,3,11,134450.65,National
5,3,12,134404.96,National
5,4,1,135772.86,National
5,4,2,145481.82,National
5,4,3,153810.25,National
5,4,4,156694.15,National
5,4,5,151943.96,National
5,4,6,160295.25,National
5,4,7,156684.83,National
5,4,8,158761.74,National
5,4,9,159007.12,National
5,4,10,145186.45,National
5,4,11,133218.71,National
5,4,12,133489.61,National
5,5,1,135208.26,National
5,5,2,144609.02,National
5,5,3,152395.57,National
5,5,4,157806.46,National
5,5,5,152838.61,National
5,5,6,160916.8,National
5,5,7,156602.05,National
5,5,8,158679.98,National
5,5,9,157962.55,National
5,5,10,144807.89,National
5,5,11,132485.11,National
5,5,12,134307.7,National
5,6,1,134157.38,National
5,6,2,144023.9,National
5,6,3,150643.68,National
5,6,4,156308.56,National
5,6,5,154042.82,National
5,6,6,158561.24,National
5,6,7,154611.93,National
5,6,8,157062.91,National
5,6,9,154226.65,National
5,6,10,144468.66,National
5,6,11,130676.07,National
5,6,12,131648.54,National
6,0,1,148067.4,National
6,0,2,155788.3,National
6,0,3,157107.32,National
6,0,4,160288.54,National
6,0,5,152253.69,National
6,0,6,155782.49,National
6,0,7,156990.06,National
6,0,8,157931.67,National
6,0,9,155594.5,National
6,0,10,147785.49,National
6,0,11,139479.81,National
6,0,12,143038.71,National
6,1,1,150078.09,National
6,1,2,158984.89,National
6,1,3,159964.55,National
6,1,4,161571.43,National
6,1,5,155143.11,National
6,1,6,159639.4,National
6,1,7,160075.5,National
6,1,8,163991.26,National
6,1,9,159575.69,National
6,1,10,148238.59,National
6,1,11,144733.07,National
6,1,12,146960.77,National
6,2,1,149772.79,National
6,2,2,158877.78,National
6,2,3,163359.44,National
6,2,4,157104.95,National
6,2,5,154475.43,National
6,2,6,162822.43,National
6,2,7,158852.53,National
6,2,8,165113.89,National
6,2,9,159334.29,National
6,2,10,148785.83,National
6,2,11,146660.59,National
6,2,12,148261.61,National
6,3,1,149332.96,National
6,3,2,159396.27,National
6,3,3,163411.11,National
6,3,4,158342.65,National
6,3,5,152580.19,National
6,3,6,161931.23,National
6,3,7,158621.85,National
6,3,8,163983.38,National
6,3,9,160523.65,National
6,3,10,149603.55,National
6,3,11,146085.28,National
6,3,12,149561.94,National
6,4,1,150034.11,National
6,4,2,158812.84,National
6,4,3,162640.54,National
6,4,4,160221.0,National
6,4,5,152284.64,National
6,4,6,161344.15,National
6,4,7,159720.0,National
6,4,8,162129.69,National
6,4,9,162864.91,National
6,4,10,151582.4,National
6,4,11,144966.09,National
6,4,12,149286.28,National
6,5,1,148794.32,National
6,5,2,156878.28,National
6,5,3,160751.74,National
6,5,4,161244.14,National
6,5,5,152660.8,National
6,5,6,161345.03,National
6,5,7,159039.46,National
6,5,8,161087.22,National
6,5,9,161211.03,National
6,5,10,150443.65,National
6,5,11,143081.79,National
6,5,12,148537.66,National
6,6,1,144936.19,National
6,6,2,153692.33,National
6,6,3,156728.06,National
6,6,4,158501.67,National
6,6,5,152372.26,National
6,6,6,157459.19,National
6,6,7,155316.24,National
6,6,8,157748.9,National
6,6,9,155527.53,National
6,6,10,148304.77,National
6,6,11,138983.37,National
6,6,12,142893.31,National
7,0,1,164208.12,National
7,0,2,171506.29,National
7,0,3,166019.07,National
7,0,4,163442.44,National
7,0,5,153136.71,National
7,0,6,158224.5,National
7,0,7,160874.11,National
7,0,8,162469.5,National
7,0,9,160656.35,National
7,0,10,153654.54,National
7,0,11,149734.2,National
7,0,12,159346.68,National
7,1,1,166335.06,National
7,1,2,173663.82,National
7,1,3,167781.45,National
7,1,4,164141.39,National
7,1,5,155662.84,National
7,1,6,161573.77,National
7,1,7,163171.84,National
7,1,8,167650.85,National
7,1,9,164051.91,National
7,1,10,153480.97,National
7,1,11,154973.28,National
7,1,12,162259.74,National
7,2,1,165561.55,National
7,2,2,173199.26,National
7,2,3,171055.88,National
7,2,4,159619.85,National
7,2,5,154966.91,National
7,2,6,164092.71,National
7,2,7,162129.68,National
7,2,8,168671.73,National
7,2,9,163914.09,National
7,2,10,153934.87,National
7,2,11,156312.84,National
7,2,12,163539.57,National
7,3,1,165488.7,National
7,3,2,173994.21,National
7,3,3,171143.73,National
7,3,4,161258.3,National
7,3,5,153435.9,National
7,3,6,163287.07,National
7,3,7,161832.28,National
7,3,8,167400.34,National
7,3,9,165077.75,National
7,3,10,154963.57,National
7,3,11,156012.27,National
7,3,12,164609.04,National
7,4,1,165956.5,National
7,4,2,173089.66,National
7,4,3,170662.76,National
7,4,4,163027.09,National
7,4,5,152940.73,National
7,4,6,162973.86,National
7,4,7,163128.94,National
7,4,8,165887.76,National
7,4,9,167146.11,National
7,4,10,156705.69,National
7,4,11,154869.66,National
7,4,12,165170.96,National
7,5,1,164454.64,National
7,5,2,170481.86,National
7,5,3,168296.0,National
7,5,4,163797.67,National
7,5,5,152861.24,National
7,5,6,162126.85,National
7,5,7,161913.47,National
7,5,8,164171.55,National
7,5,9,164958.35,National
7,5,10,155243.64,National
7,5,11,152448.91,National
7,5,12,162461.63,National
7,6,1,158559.98,National
7,6,2,164970.83,National
7,6,3,162360.36,National
7,6,4,160239.12,National
7,6,5,151227.06,National
7,6,6,156923.19,National
7,6,7,156006.68,National
7,6,8,159627.8,National
7,6,9,157493.29,National
7,6,10,151682.21,National
7,6,11,146669.85,National
7,6,12,154861.16,National
8,0,1,173293.66,National
8,0,2,178265.21,National
8,0,3,169018.37,National
8,0,4,166174.07,National
8,0,5,156145.35,National
8,0,6,161635.09,National
8,0,7,164218.52,National
8,0,8,165997.55,National
8,0,9,163954.31,National
8,0,10,156629.48,National
8,0,11,153811.03,National
8,0,12,166908.79,National
8,1,1,174559.05,National
8,1,2,179924.94,National
8,1,3,170491.03,National
8,1,4,166396.68,National
8,1,5,158162.93,National
8,1,6,164668.99,National
8,1,7,165185.29,National
8,1,8,170694.9,National
8,1,9,166644.13,National
8,1,10,156102.99,National
8,1,11,157850.82,National
8,1,12,168897.55,National
8,2,1,173478.81,National
8,2,2,179362.15,National
8,2,3,173563.86,National
8,2,4,161949.87,National
8,2,5,157291.28,National
8,2,6,166415.5,National
8,2,7,164500.21,National
8,2,8,171559.76,National
8,2,9,166339.74,National
8,2,10,156182.5,National
8,2,11,159380.85,National
8,2,12,169814.86,National
8,3,1,173411.35,National
8,3,2,179937.79,National
8,3,3,173741.38,National
8,3,4,163525.61,National
8,3,5,155945.09,National
8,3,6,165672.34,National
8,3,7,164298.23,National
8,3,8,169900.74,National
8,3,9,167730.58,National
8,3,10,157332.37,National
8,3,11,159293.79,National
8,3,12,170572.8,National
8,4,1,174308.35,National
8,4,2,179339.03,National
8,4,3,173478.0,National
8,4,4,165712.53,National
8,4,5,155012.42,National
8,4,6,165791.2,National
8,4,7,165622.04,National
8,4,8,169063.87,National
8,4,9,169496.83,National
8,4,10,159356.08,National
8,4,11,157887.48,National
8,4,12,171482.09,National
8,5,1,172914.96,National
8,5,2,176693.32,National
8,5,3,171130.47,National
8,5,4,166038.38,National
8,5,5,154581.97,National
8,5,6,164197.74,National
8,5,7,164422.7,National
8,5,8,166783.29,National
8,5,9,167259.69,National
8,5,10,157423.36,National
8,5,11,155829.96,National
8,5,12,168873.28,National
8,6,1,167694.48,National
8,6,2,171366.17,National
8,6,3,164500.81,National
8,6,4,161500.26,National
8,6,5,151785.36,National
8,6,6,157469.24,National
8,6,7,157348.56,National
8,6,8,161538.01,National
8,6,9,158787.65,National
8,6,10,153398.97,National
8,6,11,150221.65,National
8,6,12,162092.6,National
9,0,1,179956.12,National
9,0,2,183413.03,National
9,0,3,173722.84,National
9,0,4,172558.35,National
9,0,5,162010.4,National
9,0,6,167484.28,National
9,0,7,169610.77,National
9,0,8,171528.9,National
9,0,9,169135.82,National
9,0,10,161087.99,National
9,0,11,157887.27,National
9,0,12,172097.26,National
9,1,1,179914.82,National
9,1,2,184563.77,National
9,1,3,175298.86,National
9,1,4,172327.71,National
9,1,5,164173.47,National
9,1,6,170000.43,National
9,1,7,169612.48,National
9,1,8,176269.33,National
9,1,9,171280.82,National
9,1,10,160438.01,National
9,1,11,161297.3,National
9,1,12,173297.52,National
9,2,1,178926.08,National
9,2,2,183984.22,National
9,2,3,178179.37,National
9,2,4,167752.85,National
9,2,5,162758.79,National
9,2,6,171783.68,National
9,2,7,169098.34,National
9,2,8,177204.39,National
9,2,9,171252.0,National
9,2,10,160207.09,National
9,2,11,163784.67,National
9,2,12,174370.37,National
9,3,1,178556.02,National
9,3,2,184632.86,National
9,3,3,178458.57,National
9,3,4,169325.4,National
9,3,5,161659.61,National
9,3,6,170793.34,National
9,3,7,169177.71,National
9,3,8,175092.3,National
9,3,9,172313.58,National
9,3,10,161521.84,National
9,3,11,162423.85,National
9,3,12,174966.16,National
9,4,1,179976.99,National
9,4,2,184250.95,National
9,4,3,178387.76,National
9,4,4,172355.46,National
9,4,5,160207.57,National
9,4,6,171256.79,National
9,4,7,170572.26,National
9,4,8,174573.04,National
9,4,9,174149.52,National
9,4,10,163542.03,National
9,4,11,161148.52,National
9,4,12,176354.46,National
9,5,1,178502.09,National
9,5,2,182168.73,National
9,5,3,176052.68,National
9,5,4,171808.57,National
9,5,5,159733.86,National
9,5,6,168898.19,National
9,5,7,169300.28,National
9,5,8,171317.48,National
9,5,9,171751.41,National
9,5,10,161553.34,National
9,5,11,159301.66,National
9,5,12,174512.17,National
9,6,1,173916.11,National
9,6,2,177122.49,National
9,6,3,168235.75,National
9,6,4,165631.03,National
9,6,5,154975.62,National
9,6,6,159985.82,National
9,6,7,160362.92,National
9,6,8,164852.76,National
9,6,9,161862.41,National
9,6,10,156313.61,National
9,6,11,153654.17,National
9,6,12,167351.52,National
10,0,1,183069.18,National
10,0,2,185175.61,National
10,0,3,176114.89,National
10,0,4,175762.56,National
10,0,5,166190.36,National
10,0,6,171651.38,National
10,0,7,172845.67,National
10,0,8,174908.02,National
10,0,9,172064.53,National
10,0,10,163703.69,National
10,0,11,160082.6,National
10,0,12,173841.44,National
10,1,1,181859.32,National
10,1,2,185921.61,National
10,1,3,177635.13,National
10,1,4,174777.4,National
10,1,5,168054.81,National
10,1,6,173587.2,National
10,1,7,171874.19,National
10,1,8,179456.87,National
10,1,9,173701.8,National
10,1,10,162821.41,National
10,1,11,163205.37,National
10,1,12,174668.98,National
10,2,1,181230.03,National
10,2,2,185496.66,National
10,2,3,180713.16,National
10,2,4,170261.07,National
10,2,5,166211.43,National
10,2,6,175440.09,National
10,2,7,171545.83,National
10,2,8,180079.02,National
10,2,9,173859.68,National
10,2,10,162542.97,National
10,2,11,166295.93,National
10,2,12,175742.73,National
10,3,1,179863.63,National
10,3,2,185892.02,National
10,3,3,181314.29,National
10,3,4,171832.66,National
10,3,5,165521.43,National
10,3,6,174547.46,National
10,3,7,171773.3,National
10,3,8,177653.44,National
10,3,9,175057.85,National
10,3,10,163747.49,National
10,3,11,163812.77,National
10,3,12,176568.43,National
10,4,1,182123.76,National
10,4,2,186463.9,National
10,4,3,181009.09,National
10,4,4,175519.01,National
10,4,5,163878.46,National
10,4,6,175266.24,National
10,4,7,174090.71,National
10,4,8,177227.67,National
10,4,9,176928.58,National
10,4,10,165954.98,National
10,4,11,162723.27,National
10,4,12,178361.13,National
10,5,1,180163.94,National
10,5,2,183366.27,National
10,5,3,178218.07,National
10,5,4,174487.57,National
10,5,5,162869.66,National
10,5,6,171933.63,National
10,5,7,171581.81,National
10,5,8,173395.53,National
10,5,9,174330.44,National
10,5,10,163847.44,National
10,5,11,160272.59,National
10,5,12,176121.29,National
10,6,1,175994.7,National
10,6,2,178941.46,National
10,6,3,169739.7,National
10,6,4,166915.85,National
10,6,5,157160.8,National
10,6,6,161657.17,National
10,6,7,161880.5,National
10,6,8,166554.52,National
10,6,9,163168.81,National
10,6,10,157699.94,National
10,6,11,155196.25,National
10,6,12,168793.14,National
11,0,1,182079.65,National
11,0,2,183973.97,National
11,0,3,176692.02,National
11,0,4,176535.67,National
11,0,5,168759.16,National
11,0,6,173923.07,National
11,0,7,173902.92,National
11,0,8,175886.42,National
11,0,9,173201.72,National
11,0,10,163965.07,National
11,0,11,159697.93,National
11,0,12,172738.84,National
11,1,1,180325.68,National
11,1,2,184679.81,National
11,1,3,177690.97,National
11,1,4,174948.16,National
11,1,5,170404.43,National
11,1,6,175690.73,National
11,1,7,172851.33,National
11,1,8,180247.3,National
11,1,9,174502.11,National
11,1,10,163049.88,National
11,1,11,161998.02,National
11,1,12,172964.51,National
11,2,1,179789.64,National
11,2,2,184474.75,National
11,2,3,180759.99,National
11,2,4,170540.11,National
11,2,5,168099.98,National
11,2,6,177889.79,National
11,2,7,172259.81,National
11,2,8,180894.36,National
11,2,9,174483.56,National
11,2,10,162664.52,National
11,2,11,165543.1,National
11,2,12,174155.83,National
11,3,1,178062.01,National
11,3,2,184510.59,National
11,3,3,181417.11,National
11,3,4,172130.4,National
11,3,5,167946.22,National
11,3,6,176593.51,National
11,3,7,172407.76,National
11,3,8,178033.2,National
11,3,9,175694.56,National
11,3,10,164104.03,National
11,3,11,163076.97,National
11,3,12,175498.71,National
11,4,1,181051.34,National
11,4,2,185619.39,National
11,4,3,181273.03,National
11,4,4,176300.44,National
11,4,5,166014.86,National
11,4,6,177707.96,National
11,4,7,174959.99,National
11,4,8,178270.5,National
11,4,9,177944.98,National
11,4,10,166195.1,National
11,4,11,161785.13,National
11,4,12,177406.3,National
11,5,1,178391.46,National
11,5,2,181928.77,National
11,5,3,178464.66,National
11,5,4,174969.19,National
11,5,5,165055.44,National
11,5,6,173991.86,National
11,5,7,172257.25,National
11,5,8,173727.6,National
11,5,9,174992.77,National
11,5,10,164185.91,National
11,5,11,159568.65,National
11,5,12,175064.2,National
11,6,1,174912.04,National
11,6,2,177694.84,National
11,6,3,169660.13,National
11,6,4,166728.9,National
11,6,5,158988.43,National
11,6,6,163511.27,National
11,6,7,162667.83,National
11,6,8,166156.7,National
11,6,9,163658.58,National
11,6,10,157711.1,National
11,6,11,154685.13,National
11,6,12,167854.5,National
12,0,1,178616.46,National
12,0,2,180391.4,National
12,0,3,174763.91,National
12,0,4,174973.04,National
12,0,5,170020.26,National
12,0,6,174597.61,National
12,0,7,173614.04,National
12,0,8,175724.54,National
12,0,9,172897.08,National
12,0,10,162918.89,National
12,0,11,157541.29,National
12,0,12,169872.03,National
12,1,1,176928.16,National
12,1,2,180864.39,National
12,1,3,175507.1,National
12,1,4,173900.49,National
12,1,5,171310.28,National
12,1,6,176297.78,National
12,1,7,173287.65,National
12,1,8,179869.72,National
12,1,9,173981.81,National
12,1,10,161900.44,National
12,1,11,160189.73,National
12,1,12,169739.18,National
12,2,1,176748.12,National
12,2,2,181042.23,National
12,2,3,178454.86,National
12,2,4,169635.43,National
12,2,5,169126.37,National
12,2,6,178410.37,National
12,2,7,171729.48,National
12,2,8,180299.02,National
12,2,9,173711.26,National
12,2,10,161455.77,National
12,2,11,163268.64,National
12,2,12,171042.77,National
12,3,1,174459.52,National
12,3,2,180752.78,National
12,3,3,178801.44,National
12,3,4,171384.33,National
12,3,5,169107.67,National
12,3,6,177178.27,National
12,3,7,172107.75,National
12,3,8,177701.38,National
12,3,9,174960.26,National
12,3,10,162907.25,National
12,3,11,160556.62,National
12,3,12,172076.35,National
12,4,1,177962.89,National
12,4,2,182494.09,National
12,4,3,178677.91,National
12,4,4,175156.27,National
12,4,5,167095.82,National
12,4,6,178380.65,National
12,4,7,174289.87,National
12,4,8,177849.33,National
12,4,9,177328.22,National
12,4,10,164902.32,National
12,4,11,159820.04,National
12,4,12,174408.78,National
12,5,1,175163.01,National
12,5,2,178591.25,National
12,5,3,176110.89,National
12,5,4,173950.12,National
12,5,5,166461.41,National
12,5,6,175145.06,National
